id,arquivo_atual,caminho_origem_resolvido,caminho_staging,destino_recomendado,existencia_origem,existencia_staging,existencia_destino,sha256_origem,sha256_staging,sha256_destino,igualdade_hashes,destino_topologicamente_correto,origem_preservada,ausencia_sobrescrita,resultado_final
4,/Volumes/REGENERA BANK/regenera-bank/.github/PULL_REQUEST_TEMPLATE.md,/Volumes/REGENERA BANK/regenera-bank/.github/PULL_REQUEST_TEMPLATE.md,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/00-governance/audit-evidence/pipeline-green-v4/raw-repository/.github/PULL_REQUEST_TEMPLATE.md,00-governance/audit-evidence/pipeline-green-v4/raw-repository/.github/PULL_REQUEST_TEMPLATE.md,SIM,SIM,SIM,22845c276362092de13fdf9a4e82fc7e92883c4212dd127abdbae164c6acc338,22845c276362092de13fdf9a4e82fc7e92883c4212dd127abdbae164c6acc338,22845c276362092de13fdf9a4e82fc7e92883c4212dd127abdbae164c6acc338,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
7,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/ci.yml,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/ci.yml,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/00-governance/audit-evidence/pipeline-green-v4/raw-repository/.github/workflows/ci.yml,00-governance/audit-evidence/pipeline-green-v4/raw-repository/.github/workflows/ci.yml,SIM,SIM,SIM,11d2114d5a97a295fc4859cdfa5109234948e1abcf7b002d4e265ce3891045f6,11d2114d5a97a295fc4859cdfa5109234948e1abcf7b002d4e265ce3891045f6,11d2114d5a97a295fc4859cdfa5109234948e1abcf7b002d4e265ce3891045f6,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
9,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/source-material/1.Regenera-Github-Ci.yml,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/source-material/1.Regenera-Github-Ci.yml,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/99-archive/intake-review/arquivos-2/1.Regenera-Github-Ci.yml,99-archive/intake-review/arquivos-2/1.Regenera-Github-Ci.yml,SIM,SIM,SIM,d2d8ace7387cbf24d6e40a0eabd8a0327bb742f09a97769eadb365578a7a1a08,d2d8ace7387cbf24d6e40a0eabd8a0327bb742f09a97769eadb365578a7a1a08,d2d8ace7387cbf24d6e40a0eabd8a0327bb742f09a97769eadb365578a7a1a08,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
10,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/source-material/Regenera.github.ci.yml,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/source-material/Regenera.github.ci.yml,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/99-archive/intake-review/arquivos-2/Regenera.github.ci.yml,99-archive/intake-review/arquivos-2/Regenera.github.ci.yml,SIM,SIM,SIM,da9ed8c69bff53067a3254879f24c6365b74d029a1bd5819b90fc6c33dc850af,da9ed8c69bff53067a3254879f24c6365b74d029a1bd5819b90fc6c33dc850af,da9ed8c69bff53067a3254879f24c6365b74d029a1bd5819b90fc6c33dc850af,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
11,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/source-material/ci.yml,/Volumes/REGENERA BANK/regenera-bank/.github/workflows/source-material/ci.yml,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/99-archive/intake-review/arquivos-2/ci.yml,99-archive/intake-review/arquivos-2/ci.yml,SIM,SIM,SIM,da9ed8c69bff53067a3254879f24c6365b74d029a1bd5819b90fc6c33dc850af,da9ed8c69bff53067a3254879f24c6365b74d029a1bd5819b90fc6c33dc850af,da9ed8c69bff53067a3254879f24c6365b74d029a1bd5819b90fc6c33dc850af,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
14,trivyignore,/Volumes/REGENERA BANK/regenera-bank/trivyignore,,00-governance/audit-evidence/pipeline-green-v4/raw-repository/.trivyignore,NAO,NAO,SIM,,,6676eec3a5931f1bec07b581100f98b2c653aaafd3fd78a79950944641349a39,NAO,SIM,SIM,SIM,ALREADY_IDENTICAL
34,/Volumes/REGENERA BANK/regenera-bank/03-channels/regenera-channel-android/.regenera-agent/RELATORIO.md,/Volumes/REGENERA BANK/regenera-bank/03-channels/regenera-channel-android/.regenera-agent/RELATORIO.md,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/00-governance/audit-evidence/agent-cli/arquivo-5-zip/2.Mapa-Mestre-Executado/02-Regenera-Android-Production/.regenera-agent/RELATORIO.md,00-governance/audit-evidence/agent-cli/arquivo-5-zip/2.Mapa-Mestre-Executado/02-Regenera-Android-Production/.regenera-agent/RELATORIO.md,SIM,SIM,SIM,1787843f616a7634fb616db53b538f574747d4b26c81b26d0a1d8122dfe48ec0,1787843f616a7634fb616db53b538f574747d4b26c81b26d0a1d8122dfe48ec0,1787843f616a7634fb616db53b538f574747d4b26c81b26d0a1d8122dfe48ec0,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
35,/Volumes/REGENERA BANK/regenera-bank/03-channels/regenera-channel-android/.regenera-agent/ledger.json,/Volumes/REGENERA BANK/regenera-bank/03-channels/regenera-channel-android/.regenera-agent/ledger.json,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/00-governance/audit-evidence/agent-cli/arquivo-5-zip/2.Mapa-Mestre-Executado/02-Regenera-Android-Production/.regenera-agent/ledger.json,00-governance/audit-evidence/agent-cli/arquivo-5-zip/2.Mapa-Mestre-Executado/02-Regenera-Android-Production/.regenera-agent/ledger.json,SIM,SIM,SIM,bf54ecd57d36d43429a5d73ac730a8c317b0368606a4b19bd351981faf74fc6b,bf54ecd57d36d43429a5d73ac730a8c317b0368606a4b19bd351981faf74fc6b,bf54ecd57d36d43429a5d73ac730a8c317b0368606a4b19bd351981faf74fc6b,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
37,/Volumes/REGENERA BANK/regenera-bank/03-channels/regenera-channel-android/02-Regenera-Android-Production (1).zip,/Volumes/REGENERA BANK/regenera-bank/03-channels/regenera-channel-android/02-Regenera-Android-Production (1).zip,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/99-archive/source-packages/arquivo-5-zip/02-Regenera-Android-Production (1).zip,99-archive/source-packages/arquivo-5-zip/02-Regenera-Android-Production (1).zip,SIM,SIM,SIM,ec22fe94515769060d238f1341d832c6d21a530d453603dcca1f86d929246bb1,ec22fe94515769060d238f1341d832c6d21a530d453603dcca1f86d929246bb1,ec22fe94515769060d238f1341d832c6d21a530d453603dcca1f86d929246bb1,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
281,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/.env.example,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/.env.example,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/.env.example,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/.env.example,SIM,SIM,SIM,a7994d607e6c952e7f0e8c780a21639268dddcf76924023fbdee1f7d6f4340d2,a7994d607e6c952e7f0e8c780a21639268dddcf76924023fbdee1f7d6f4340d2,a7994d607e6c952e7f0e8c780a21639268dddcf76924023fbdee1f7d6f4340d2,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
282,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/App.tsx,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/App.tsx,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/App.tsx,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/App.tsx,SIM,SIM,SIM,48ff2f5e4eeedbe52bf4d366d9e44b258f38717aa5c2dd8efe25b3ab7beb8514,48ff2f5e4eeedbe52bf4d366d9e44b258f38717aa5c2dd8efe25b3ab7beb8514,48ff2f5e4eeedbe52bf4d366d9e44b258f38717aa5c2dd8efe25b3ab7beb8514,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
283,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/EAS_BUILD.sh,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/EAS_BUILD.sh,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/EAS_BUILD.sh,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/EAS_BUILD.sh,SIM,SIM,SIM,780495a2e2a8cd44386743598b0b56485bb993bba9ab51ea327109bfb8ab815c,780495a2e2a8cd44386743598b0b56485bb993bba9ab51ea327109bfb8ab815c,780495a2e2a8cd44386743598b0b56485bb993bba9ab51ea327109bfb8ab815c,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
284,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/LICENSE,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/LICENSE,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/LICENSE,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/LICENSE,SIM,SIM,SIM,fb3ca4a837f5779e83cef89b78253a8949cfb9429c340309f62d0465ec6610b4,fb3ca4a837f5779e83cef89b78253a8949cfb9429c340309f62d0465ec6610b4,fb3ca4a837f5779e83cef89b78253a8949cfb9429c340309f62d0465ec6610b4,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
285,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/V3_README_CIRURGIA.md,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/V3_README_CIRURGIA.md,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/V3_README_CIRURGIA.md,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/V3_README_CIRURGIA.md,SIM,SIM,SIM,554a8746d5adf118b5d663c1fcea3f1ad0175c9ebc03772bebb710d355d47455,554a8746d5adf118b5d663c1fcea3f1ad0175c9ebc03772bebb710d355d47455,554a8746d5adf118b5d663c1fcea3f1ad0175c9ebc03772bebb710d355d47455,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
286,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/app.json,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/app.json,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/app.json,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/app.json,SIM,SIM,SIM,7b0b2216dbbf2c64a3b3ec60cb0c1a1034a0fdc0156cca905c90ba418835529d,7b0b2216dbbf2c64a3b3ec60cb0c1a1034a0fdc0156cca905c90ba418835529d,7b0b2216dbbf2c64a3b3ec60cb0c1a1034a0fdc0156cca905c90ba418835529d,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
287,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/android-icon-background.png,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/android-icon-background.png,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/android-icon-background.png,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/android-icon-background.png,SIM,SIM,SIM,59dd2ac95c60afcaefcd003e0b953c2a985263819bb7ae4ef1fe9a4cdc502908,59dd2ac95c60afcaefcd003e0b953c2a985263819bb7ae4ef1fe9a4cdc502908,59dd2ac95c60afcaefcd003e0b953c2a985263819bb7ae4ef1fe9a4cdc502908,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
288,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/android-icon-foreground.png,/Volumes/REGENERA BANK/regenera-bank/99-archive/source-material/mobile-react-native/assets/android-icon-foreground.png,/Volumes/REGENERA BANK/REGENERA-MIGRATION-STAGING-1478/runs/20260626T042442Z/staged/03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/android-icon-foreground.png,03-channels/regenera-channel-mobile-react-native-legacy/source-material/pipeline-green-v4/assets/android-icon-foreground.png,SIM,SIM,SIM,6350f7651c46232895baaf997a60303fdac90be4bb6c121b0d0ea480af2301f2,6350f7651c46232895baaf997a60303fdac90be4bb6c121b0d0ea480af2301f2,6350f7651c46232895baaf997a60303fdac90be4bb6c121b0d0ea480af2301f2,SIM,SIM,SIM,SIM,ALREADY_IDENTICAL
