conflict_id,modulo_proprietario,conteudo_generico
3,Unknown,SIM
12,Unknown,SIM
19,Unknown,SIM
33,Unknown,SIM
45,Unknown,SIM
47,Unknown,SIM
72,Unknown,SIM
91,Unknown,SIM
106,Unknown,SIM
117,Unknown,SIM
550,Unknown,SIM
593,Unknown,SIM
607,Unknown,SIM
611,Unknown,SIM
667,Unknown,SIM
668,Unknown,SIM
677,Unknown,SIM
687,Unknown,SIM
691,Unknown,SIM
701,Unknown,SIM
708,Unknown,SIM
765,Unknown,SIM
768,Unknown,SIM
769,Unknown,SIM
890,Unknown,SIM
893,Unknown,SIM
897,Unknown,SIM
1130,Unknown,SIM
1132,Unknown,SIM
1164,Unknown,SIM
1310,Unknown,SIM
1314,Unknown,SIM
1333,Unknown,SIM
1406,Unknown,SIM
1410,Unknown,SIM
1429,Unknown,SIM
1470,Unknown,SIM
1474,Unknown,SIM
1505,Unknown,SIM
1559,Unknown,SIM
1563,Unknown,SIM
1582,Unknown,SIM
2386,Unknown,SIM
2390,Unknown,SIM
2445,Unknown,SIM
2474,Unknown,SIM
2478,Unknown,SIM
2503,Unknown,SIM
2757,Unknown,SIM
2761,Unknown,SIM
2779,Unknown,SIM
3100,Unknown,SIM
3104,Unknown,SIM
3133,Unknown,SIM
3287,Unknown,SIM
3291,Unknown,SIM
3309,Unknown,SIM
3429,Unknown,SIM
3433,Unknown,SIM
3506,Unknown,SIM
3512,Unknown,SIM
3654,Unknown,SIM
3658,Unknown,SIM
3691,Unknown,SIM
3693,Unknown,SIM
3694,Unknown,SIM
3765,Unknown,SIM
3769,Unknown,SIM
3787,Unknown,SIM
3852,Unknown,SIM
3856,Unknown,SIM
3874,Unknown,SIM
3983,Unknown,SIM
4016,Unknown,SIM
4020,Unknown,SIM
4038,Unknown,SIM
4129,Unknown,SIM
4133,Unknown,SIM
4153,Unknown,SIM
4336,Unknown,SIM
4340,Unknown,SIM
4358,Unknown,SIM
