conflict_id,motivo
3,Metadado duplicado classificado como código
12,Metadado duplicado classificado como código
19,Metadado duplicado classificado como código
33,Metadado duplicado classificado como código
45,Metadado duplicado classificado como código
47,Metadado duplicado classificado como código
72,Metadado duplicado classificado como código
91,Metadado duplicado classificado como código
106,Metadado duplicado classificado como código
117,Metadado duplicado classificado como código
550,Metadado duplicado classificado como código
593,Metadado duplicado classificado como código
607,Metadado duplicado classificado como código
611,Metadado duplicado classificado como código
667,Metadado duplicado classificado como código
668,Metadado duplicado classificado como código
677,Metadado duplicado classificado como código
687,Metadado duplicado classificado como código
691,Metadado duplicado classificado como código
701,Metadado duplicado classificado como código
708,Metadado duplicado classificado como código
765,Metadado duplicado classificado como código
768,Metadado duplicado classificado como código
769,Metadado duplicado classificado como código
890,Metadado duplicado classificado como código
893,Metadado duplicado classificado como código
897,Metadado duplicado classificado como código
1130,Metadado duplicado classificado como código
1132,Metadado duplicado classificado como código
1164,Metadado duplicado classificado como código
1310,Metadado duplicado classificado como código
1314,Metadado duplicado classificado como código
1333,Metadado duplicado classificado como código
1406,Metadado duplicado classificado como código
1410,Metadado duplicado classificado como código
1429,Metadado duplicado classificado como código
1470,Metadado duplicado classificado como código
1474,Metadado duplicado classificado como código
1505,Metadado duplicado classificado como código
1559,Metadado duplicado classificado como código
1563,Metadado duplicado classificado como código
1582,Metadado duplicado classificado como código
2386,Metadado duplicado classificado como código
2390,Metadado duplicado classificado como código
2445,Metadado duplicado classificado como código
2474,Metadado duplicado classificado como código
2478,Metadado duplicado classificado como código
2503,Metadado duplicado classificado como código
2757,Metadado duplicado classificado como código
2761,Metadado duplicado classificado como código
2779,Metadado duplicado classificado como código
3100,Metadado duplicado classificado como código
3104,Metadado duplicado classificado como código
3133,Metadado duplicado classificado como código
3287,Metadado duplicado classificado como código
3291,Metadado duplicado classificado como código
3309,Metadado duplicado classificado como código
3429,Metadado duplicado classificado como código
3433,Metadado duplicado classificado como código
3506,Metadado duplicado classificado como código
3512,Metadado duplicado classificado como código
3654,Metadado duplicado classificado como código
3658,Metadado duplicado classificado como código
3691,Metadado duplicado classificado como código
3693,Metadado duplicado classificado como código
3694,Metadado duplicado classificado como código
3765,Metadado duplicado classificado como código
3769,Metadado duplicado classificado como código
3787,Metadado duplicado classificado como código
3852,Metadado duplicado classificado como código
3856,Metadado duplicado classificado como código
3874,Metadado duplicado classificado como código
3983,Metadado duplicado classificado como código
4016,Metadado duplicado classificado como código
4020,Metadado duplicado classificado como código
4038,Metadado duplicado classificado como código
4129,Metadado duplicado classificado como código
4133,Metadado duplicado classificado como código
4153,Metadado duplicado classificado como código
4336,Metadado duplicado classificado como código
4340,Metadado duplicado classificado como código
4358,Metadado duplicado classificado como código
