conflict_id,candidato_id,caminho_fisico,sha256_esperado,sha256_confirmado,módulo,tipo_de_arquivo,função_real,classificação_anterior,classificação_forense,consumidor_ativo,contrato_relacionado,teste_relacionado,impacto_funcional,capacidade_p0_anterior,capacidade_p0_confirmada,vínculo_p0,destino_por_modulo,decisão_realmente_necessária,confiança,status
3,3-A,,26c40b2d8dc7b839c4aa42caf4a219fdb82ade0c7a928ccc6543b73818e5cca2,26c40b2d8dc7b839c4aa42caf4a219fdb82ade0c7a928ccc6543b73818e5cca2,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
12,12-A,,7504c983c7147de5d6e88bdada5894136185fa719b5aefc0bd1ae7a6e90036ec,7504c983c7147de5d6e88bdada5894136185fa719b5aefc0bd1ae7a6e90036ec,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
19,19-A,,1cdcc5a883b4b3c6880e785a48d32995e7851044548fad8bc1ada666c7fac429,1cdcc5a883b4b3c6880e785a48d32995e7851044548fad8bc1ada666c7fac429,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
33,33-A,,91df085ba72bd38a7548da5d57836de91314e4e5dfb0ec0d086c4107834bf900,91df085ba72bd38a7548da5d57836de91314e4e5dfb0ec0d086c4107834bf900,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
45,45-A,,b0391ac1016261efbfd26b1133b605329ed29eb9e71dda5ffe7c81fb26b2b54f,b0391ac1016261efbfd26b1133b605329ed29eb9e71dda5ffe7c81fb26b2b54f,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
47,47-A,,4ce5db2aba953542b8d8acdb4a3a02101a9aa8b27986f87990d24bb0bc25a779,4ce5db2aba953542b8d8acdb4a3a02101a9aa8b27986f87990d24bb0bc25a779,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
72,72-A,,ee2b24fb105b9c9b03f78d9a8d421c3d89943e276bbf31792bec7f03f42d2a28,ee2b24fb105b9c9b03f78d9a8d421c3d89943e276bbf31792bec7f03f42d2a28,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
91,91-A,,feab7afea9fa300a4ceb841c189a872cc90b6d5b45daebb8c198989826109572,feab7afea9fa300a4ceb841c189a872cc90b6d5b45daebb8c198989826109572,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
106,106-A,,1ff62b6f7bee7dfc0e7d8a949b64f699327b67b85d2393df69a9e23b3560cda8,1ff62b6f7bee7dfc0e7d8a949b64f699327b67b85d2393df69a9e23b3560cda8,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
117,117-A,,d1d6d4e69bad77fb7e1c381b85982670dec7677ce0cce1e111674b1e493d8d36,d1d6d4e69bad77fb7e1c381b85982670dec7677ce0cce1e111674b1e493d8d36,Unknown,MODULE_METADATA_CONFLICT,STRUCTURAL_SCAFFOLD,BEHAVIORAL_CODE_CONFLICT (Implícito),MODULE_METADATA_CONFLICT,NAO,NAO,NAO,UNKNOWN_IMPACT,SIM,NAO,INVALIDATED,DESTINATION_PER_MODULE,NAO,ALTA,RECLASSIFIED
