conflict_id,caminho,esperado,encontrado,match
3,,26c40b2d8dc7b839c4aa42caf4a219fdb82ade0c7a928ccc6543b73818e5cca2,26c40b2d8dc7b839c4aa42caf4a219fdb82ade0c7a928ccc6543b73818e5cca2,SIM
12,,7504c983c7147de5d6e88bdada5894136185fa719b5aefc0bd1ae7a6e90036ec,7504c983c7147de5d6e88bdada5894136185fa719b5aefc0bd1ae7a6e90036ec,SIM
19,,1cdcc5a883b4b3c6880e785a48d32995e7851044548fad8bc1ada666c7fac429,1cdcc5a883b4b3c6880e785a48d32995e7851044548fad8bc1ada666c7fac429,SIM
33,,91df085ba72bd38a7548da5d57836de91314e4e5dfb0ec0d086c4107834bf900,91df085ba72bd38a7548da5d57836de91314e4e5dfb0ec0d086c4107834bf900,SIM
45,,b0391ac1016261efbfd26b1133b605329ed29eb9e71dda5ffe7c81fb26b2b54f,b0391ac1016261efbfd26b1133b605329ed29eb9e71dda5ffe7c81fb26b2b54f,SIM
47,,4ce5db2aba953542b8d8acdb4a3a02101a9aa8b27986f87990d24bb0bc25a779,4ce5db2aba953542b8d8acdb4a3a02101a9aa8b27986f87990d24bb0bc25a779,SIM
72,,ee2b24fb105b9c9b03f78d9a8d421c3d89943e276bbf31792bec7f03f42d2a28,ee2b24fb105b9c9b03f78d9a8d421c3d89943e276bbf31792bec7f03f42d2a28,SIM
91,,feab7afea9fa300a4ceb841c189a872cc90b6d5b45daebb8c198989826109572,feab7afea9fa300a4ceb841c189a872cc90b6d5b45daebb8c198989826109572,SIM
106,,1ff62b6f7bee7dfc0e7d8a949b64f699327b67b85d2393df69a9e23b3560cda8,1ff62b6f7bee7dfc0e7d8a949b64f699327b67b85d2393df69a9e23b3560cda8,SIM
117,,d1d6d4e69bad77fb7e1c381b85982670dec7677ce0cce1e111674b1e493d8d36,d1d6d4e69bad77fb7e1c381b85982670dec7677ce0cce1e111674b1e493d8d36,SIM
550,,3690f695776058287d5e664d2621818e00dab0a362873460326dd6448816b74b,3690f695776058287d5e664d2621818e00dab0a362873460326dd6448816b74b,SIM
