conflict_id,caminho,motivo
3,,Scaffold Estrutural Genérico
12,,Scaffold Estrutural Genérico
19,,Scaffold Estrutural Genérico
33,,Scaffold Estrutural Genérico
45,,Scaffold Estrutural Genérico
47,,Scaffold Estrutural Genérico
72,,Scaffold Estrutural Genérico
91,,Scaffold Estrutural Genérico
106,,Scaffold Estrutural Genérico
117,,Scaffold Estrutural Genérico
550,,Scaffold Estrutural Genérico
593,,Scaffold Estrutural Genérico
607,,Scaffold Estrutural Genérico
611,,Scaffold Estrutural Genérico
667,,Scaffold Estrutural Genérico
668,,Scaffold Estrutural Genérico
677,,Scaffold Estrutural Genérico
687,,Scaffold Estrutural Genérico
691,,Scaffold Estrutural Genérico
701,,Scaffold Estrutural Genérico
708,,Scaffold Estrutural Genérico
765,,Scaffold Estrutural Genérico
768,,Scaffold Estrutural Genérico
769,,Scaffold Estrutural Genérico
890,,Scaffold Estrutural Genérico
893,,Scaffold Estrutural Genérico
897,,Scaffold Estrutural Genérico
1130,,Scaffold Estrutural Genérico
1132,,Scaffold Estrutural Genérico
1164,,Scaffold Estrutural Genérico
1310,,Scaffold Estrutural Genérico
1314,,Scaffold Estrutural Genérico
1333,,Scaffold Estrutural Genérico
1406,,Scaffold Estrutural Genérico
1410,,Scaffold Estrutural Genérico
1429,,Scaffold Estrutural Genérico
1470,,Scaffold Estrutural Genérico
1474,,Scaffold Estrutural Genérico
1505,,Scaffold Estrutural Genérico
1559,,Scaffold Estrutural Genérico
1563,,Scaffold Estrutural Genérico
1582,,Scaffold Estrutural Genérico
2386,,Scaffold Estrutural Genérico
2390,,Scaffold Estrutural Genérico
2445,,Scaffold Estrutural Genérico
2474,,Scaffold Estrutural Genérico
2478,,Scaffold Estrutural Genérico
2503,,Scaffold Estrutural Genérico
2757,,Scaffold Estrutural Genérico
2761,,Scaffold Estrutural Genérico
2779,,Scaffold Estrutural Genérico
3100,,Scaffold Estrutural Genérico
3104,,Scaffold Estrutural Genérico
3133,,Scaffold Estrutural Genérico
3287,,Scaffold Estrutural Genérico
3291,,Scaffold Estrutural Genérico
3309,,Scaffold Estrutural Genérico
3429,,Scaffold Estrutural Genérico
3433,,Scaffold Estrutural Genérico
3506,,Scaffold Estrutural Genérico
3512,,Scaffold Estrutural Genérico
3654,,Scaffold Estrutural Genérico
3658,,Scaffold Estrutural Genérico
3691,,Scaffold Estrutural Genérico
3693,,Scaffold Estrutural Genérico
3694,,Scaffold Estrutural Genérico
3765,,Scaffold Estrutural Genérico
3769,,Scaffold Estrutural Genérico
3787,,Scaffold Estrutural Genérico
3852,,Scaffold Estrutural Genérico
3856,,Scaffold Estrutural Genérico
3874,,Scaffold Estrutural Genérico
3983,,Scaffold Estrutural Genérico
4016,,Scaffold Estrutural Genérico
4020,,Scaffold Estrutural Genérico
4038,,Scaffold Estrutural Genérico
4129,,Scaffold Estrutural Genérico
4133,,Scaffold Estrutural Genérico
4153,,Scaffold Estrutural Genérico
4336,,Scaffold Estrutural Genérico
4340,,Scaffold Estrutural Genérico
4358,,Scaffold Estrutural Genérico
