conflict_id,pacote_origem,arquivo_origem,sha256,tamanho
3,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/08.RegeneraBank-main/.gitattributes,26c40b2d8dc7b839c4aa42caf4a219fdb82ade0c7a928ccc6543b73818e5cca2,199
3,regenera-bank.zip,regenera-bank/.gitattributes,8ef88897bb1bbb7fe3db5d057d078f9cd2b93ca85c6aa86d97aef6327091526d,25
12,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/08.RegeneraBank-main/.gitignore,7504c983c7147de5d6e88bdada5894136185fa719b5aefc0bd1ae7a6e90036ec,631
12,regenera-bank.zip,regenera-bank/.gitignore,8ef88897bb1bbb7fe3db5d057d078f9cd2b93ca85c6aa86d97aef6327091526d,25
19,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/08.RegeneraBank-main/README.md,1cdcc5a883b4b3c6880e785a48d32995e7851044548fad8bc1ada666c7fac429,32139
19,regenera-bank.zip,regenera-bank/README.md,8ef88897bb1bbb7fe3db5d057d078f9cd2b93ca85c6aa86d97aef6327091526d,25
33,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-android/.gitignore,91df085ba72bd38a7548da5d57836de91314e4e5dfb0ec0d086c4107834bf900,56
33,Arquivo(5).zip,2.Mapa-Mestre-Executado/02-Regenera-Android-Production/.gitignore,91df085ba72bd38a7548da5d57836de91314e4e5dfb0ec0d086c4107834bf900,56
33,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-android/.gitignore,3e34cb9708ba86ef631992b99be4b0ddac57e42272c212e7371a993ebf46a75a,123
45,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-android/README.md,b0391ac1016261efbfd26b1133b605329ed29eb9e71dda5ffe7c81fb26b2b54f,679
45,Arquivo(5).zip,2.Mapa-Mestre-Executado/02-Regenera-Android-Production/README.md,b0391ac1016261efbfd26b1133b605329ed29eb9e71dda5ffe7c81fb26b2b54f,679
45,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-android/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
