conflict_id,destino_logico,num_candidatos,identical,tipo
3,governance/audit-evidence/pipeline-green-v4/raw-repository/.gitattributes,2,NAO,CODIGO/CONFIG
12,governance/audit-evidence/pipeline-green-v4/raw-repository/.gitignore,2,NAO,CODIGO/CONFIG
19,governance/audit-evidence/pipeline-green-v4/raw-repository/README.md,2,NAO,CODIGO/CONFIG
33,apps/android/.gitignore,3,NAO,CODIGO/CONFIG
45,apps/android/README.md,3,NAO,CODIGO/CONFIG
47,apps/android/app/build.gradle.kts,3,NAO,CODIGO/CONFIG
72,apps/android/core-design/build.gradle.kts,3,NAO,CODIGO/CONFIG
91,apps/android/core-network/build.gradle.kts,3,NAO,CODIGO/CONFIG
106,apps/android/core-observability/build.gradle.kts,3,NAO,CODIGO/CONFIG
117,apps/android/core-security/build.gradle.kts,3,NAO,CODIGO/CONFIG
550,apps/ios/README.md,3,NAO,CODIGO/CONFIG
593,apps/partner-developer-portal/.env.example,2,NAO,CODIGO/CONFIG
607,apps/partner-developer-portal/Dockerfile,2,NAO,CODIGO/CONFIG
611,apps/partner-developer-portal/README.md,2,NAO,CODIGO/CONFIG
667,apps/web-banking/source-material/mapa-mestre-executado/.env.example,4,NAO,CODIGO/CONFIG
668,apps/web-banking/source-material/pipeline-green-v4/.eslintrc.cjs,2,NAO,CODIGO/CONFIG
677,apps/web-banking/.gitignore,4,NAO,CODIGO/CONFIG
687,apps/web-banking/Dockerfile,2,NAO,CODIGO/CONFIG
691,apps/web-banking/README.md,3,NAO,CODIGO/CONFIG
701,apps/web-banking/source-material/mapa-mestre-executado/docs/ARCHITECTURE.md,3,NAO,CODIGO/CONFIG
708,apps/web-banking/docs/RUNBOOK.md,3,NAO,CODIGO/CONFIG
765,apps/web-banking/source-material/mapa-mestre-executado/next.config.mjs,2,NAO,CODIGO/CONFIG
768,apps/web-banking/source-material/mapa-mestre-executado/package-lock.json,2,NAO,GERADO
769,apps/web-banking/package.json,3,NAO,CODIGO/CONFIG
890,apps/web-banking/source-material/mapa-mestre-executado/src/app/error.tsx,2,NAO,CODIGO/CONFIG
893,apps/web-banking/source-material/mapa-mestre-executado/src/app/layout.tsx,2,NAO,CODIGO/CONFIG
897,apps/web-banking/src/app/page.tsx,2,NAO,CODIGO/CONFIG
1130,apps/web-banking/source-material/mapa-mestre-executado/tsconfig.json,3,NAO,CODIGO/CONFIG
1132,apps/web-banking/source-material/mapa-mestre-executado/vercel.json,2,NAO,CODIGO/CONFIG
1164,apps/windows-operations/README.md,3,NAO,CODIGO/CONFIG
1310,bff/mobile-bff/Dockerfile,2,NAO,CODIGO/CONFIG
1314,bff/mobile-bff/README.md,2,NAO,CODIGO/CONFIG
1333,bff/mobile-bff/service.yaml,2,NAO,CODIGO/CONFIG
1406,bff/operations-bff/Dockerfile,2,NAO,CODIGO/CONFIG
1410,bff/operations-bff/README.md,2,NAO,CODIGO/CONFIG
1429,bff/operations-bff/service.yaml,2,NAO,CODIGO/CONFIG
1470,bff/partner-api-facade/Dockerfile,3,NAO,CODIGO/CONFIG
1474,bff/partner-api-facade/README.md,3,NAO,CODIGO/CONFIG
1505,bff/partner-api-facade/service.yaml,2,NAO,CODIGO/CONFIG
1559,bff/web-bff/Dockerfile,2,NAO,CODIGO/CONFIG
1563,bff/web-bff/README.md,2,NAO,CODIGO/CONFIG
1582,bff/web-bff/service.yaml,2,NAO,CODIGO/CONFIG
2386,domains/accounting/Dockerfile,2,NAO,CODIGO/CONFIG
2390,domains/accounting/README.md,2,NAO,CODIGO/CONFIG
2445,domains/accounting/service.yaml,2,NAO,CODIGO/CONFIG
2474,domains/accounts/Dockerfile,2,NAO,CODIGO/CONFIG
2478,domains/accounts/README.md,2,NAO,CODIGO/CONFIG
2503,domains/accounts/service.yaml,2,NAO,CODIGO/CONFIG
2757,domains/cards/Dockerfile,2,NAO,CODIGO/CONFIG
2761,domains/cards/README.md,2,NAO,CODIGO/CONFIG
2779,domains/cards/service.yaml,2,NAO,CODIGO/CONFIG
3100,domains/customers/Dockerfile,2,NAO,CODIGO/CONFIG
3104,domains/customers/README.md,2,NAO,CODIGO/CONFIG
3133,domains/customers/service.yaml,2,NAO,CODIGO/CONFIG
3287,domains/fees/Dockerfile,2,NAO,CODIGO/CONFIG
3291,domains/fees/README.md,2,NAO,CODIGO/CONFIG
3309,domains/fees/service.yaml,2,NAO,CODIGO/CONFIG
3429,domains/identity/Dockerfile,2,NAO,CODIGO/CONFIG
3433,domains/identity/README.md,2,NAO,CODIGO/CONFIG
3506,domains/identity/service.yaml,2,NAO,CODIGO/CONFIG
3512,domains/identity/source-material/arquivos-2/session.service.ts,3,NAO,CODIGO/CONFIG
3654,domains/ledger/Dockerfile,2,NAO,CODIGO/CONFIG
3658,domains/ledger/README.md,2,NAO,CODIGO/CONFIG
3691,domains/ledger/service.yaml,2,NAO,CODIGO/CONFIG
3693,domains/ledger/source-material/arquivos-2/ledger-posting.service.ts,3,NAO,CODIGO/CONFIG
3694,domains/ledger/source-material/arquivos-2/2 PARTE /money.value-object.ts,3,NAO,CODIGO/CONFIG
