id,caminho_atual,pacote_origem,arquivo_origem_no_zip,sha256,tamanho,area_modulo,destino_recomendado,destino_logico,procedencia,licenca,linguagem_funcao,tipo,dependencias,imports,mocks,segredos,riscos_seguranca,riscos_operacionais,compatibilidade,testes_necessarios,recomendacao,confianca,justificativa,aprovacao_humana
775,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/10.Regenera-Nome_Modules-App.tsx,ARQUIVOS 2(1).zip,ARQUIVOS 2/10.Regenera-Nome_Modules-App.tsx,d44873939169087534bd7becb8661a63b4d5af1293c31d8358db0149ba42f452,5293,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/10.Regenera-Nome_Modules-App.tsx,apps/web-banking/reference-prototypes/arquivos-2/10.Regenera-Nome_Modules-App.tsx,CONHECIDA,AUSENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
776,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx,ARQUIVOS 2(1).zip,ARQUIVOS 2/App.tsx,beeb33c3f8af502122a6e15183a8a7eab2a54f18fb1b9af9172ac1761ff9fd8a,4673,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx,apps/web-banking/reference-prototypes/arquivos-2/App.tsx,CONHECIDA,AUSENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
777,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx.tsx,ARQUIVOS 2(1).zip,ARQUIVOS 2/App.tsx.tsx,beeb33c3f8af502122a6e15183a8a7eab2a54f18fb1b9af9172ac1761ff9fd8a,4673,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx.tsx,apps/web-banking/reference-prototypes/arquivos-2/App.tsx.tsx,CONHECIDA,AUSENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
778,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/app.json,ARQUIVOS 2(1).zip,ARQUIVOS 2/app.json,efd6ef5f1fdbd17efe58315bd7d459a406a128a4166c7bf3d69ab2718b5f4594,2246,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/app.json,apps/web-banking/reference-prototypes/arquivos-2/app.json,CONHECIDA,AUSENTE,.json,configuração,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,NAO,MANTER_REFERENCIA,ALTA,Material de referência útil.,SIM
779,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.gitignore,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/.gitignore,56537ebe03160a28fdb6e59ae18f408d6f8aba609df73c45917c9358fd3bad52,8,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.gitignore,apps/web-banking/reference-prototypes/corporate-we-bank/.gitignore,CONHECIDA,AUSENTE,,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
780,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/launch.json,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/.vscode/launch.json,e6daece4aac3c4aa44b8359ce55343558f6d4fb19c24576d4ae4921fd0bc218f,212,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/launch.json,apps/web-banking/reference-prototypes/corporate-we-bank/.vscode/launch.json,CONHECIDA,AUSENTE,.json,configuração,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,NAO,MANTER_REFERENCIA,ALTA,Material de referência útil.,SIM
781,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/settings.json,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/.vscode/settings.json,d0b6d5d74faafaa588e3070322b67150e8beaee633e5bc13d3f2dc89ef716649,42,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/settings.json,apps/web-banking/reference-prototypes/corporate-we-bank/.vscode/settings.json,CONHECIDA,AUSENTE,.json,configuração,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,NAO,MANTER_REFERENCIA,ALTA,Material de referência útil.,SIM
782,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/App.tsx,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/App.tsx,34cda29d0ad1c2b0804cec0f48a2a0fcdc6be78e35cb1bb669df940cd85158c1,62847,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/App.tsx,apps/web-banking/reference-prototypes/corporate-we-bank/App.tsx,CONHECIDA,PRESENTE,.tsx,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
783,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/ai-logic.js,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/ai-logic.js,4b505dbf7e4fe01f630a9bab3c2f8d8de019fad5b93371de15f59c0508b321c7,16149,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/ai-logic.js,apps/web-banking/reference-prototypes/corporate-we-bank/ai-logic.js,CONHECIDA,PRESENTE,.js,código-fonte/protótipo,N/A,N/A,N/A,SIM,ALTO,BAIXO,ALTA,SIM,REJEITAR,ALTA,Segredo potencial detectado. O arquivo deve ser rejeitado ou expurgado.,SIM
784,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/apply-audit.cjs,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb 2(1).zip,11.0-Regenera-Corporate-|-We-Bank---We-Future--2026-06-23-e89fb/apply-audit.cjs,45a972297e7b8162a9256a8e3091acd7b426bc4de9c1d7cfa440e20e2162d7dd,4301,03-channels/regenera-channel-web-banking,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/apply-audit.cjs,apps/web-banking/reference-prototypes/corporate-we-bank/apply-audit.cjs,CONHECIDA,AUSENTE,.cjs,código-fonte/protótipo,N/A,N/A,N/A,NAO,BAIXO,BAIXO,ALTA,SIM,REFATORAR,ALTA,Código fonte de referência que exige refatoração para adequação ao padrão canônico.,SIM
