id,caminho,risco,motivo
775,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/10.Regenera-Nome_Modules-App.tsx,BAIXO,Nenhum
776,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx,BAIXO,Nenhum
777,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx.tsx,BAIXO,Nenhum
778,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/app.json,BAIXO,Nenhum
779,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.gitignore,BAIXO,Nenhum
780,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/launch.json,BAIXO,Nenhum
781,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/settings.json,BAIXO,Nenhum
782,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/App.tsx,BAIXO,Nenhum
783,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/ai-logic.js,ALTO,Segredo encontrado
784,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/apply-audit.cjs,BAIXO,Nenhum
785,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/bridge_script.js,ALTO,Segredo encontrado
786,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/RaphaelaOrb.tsx,BAIXO,Nenhum
787,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/VoiceWave.tsx,BAIXO,Nenhum
788,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Auth/LoginScreen.tsx,BAIXO,Nenhum
789,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/PixArea.tsx,BAIXO,Nenhum
790,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Banking/TransferArea.tsx,BAIXO,Nenhum
791,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Dashboard/DonutChart.tsx,BAIXO,Nenhum
792,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Infographic.tsx,BAIXO,Nenhum
793,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/IntroScreen.tsx,BAIXO,Nenhum
794,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Loading.tsx,BAIXO,Nenhum
795,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Cards.tsx,BAIXO,Nenhum
796,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Crypto.tsx,BAIXO,Nenhum
797,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Investments.tsx,BAIXO,Nenhum
798,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/LifestyleExtended.tsx,BAIXO,Nenhum
799,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/NeuralInsights.tsx,BAIXO,Nenhum
800,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Pix.tsx,BAIXO,Nenhum
801,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/RegeneraExtra.tsx,BAIXO,Nenhum
802,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/SystemExtended.tsx,BAIXO,Nenhum
803,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/Transactions.tsx,BAIXO,Nenhum
804,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/WealthExtended.tsx,BAIXO,Nenhum
805,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/SearchResults.tsx,BAIXO,Nenhum
806,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/ErrorBoundary.tsx,BAIXO,Nenhum
807,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/MapWidget.tsx,BAIXO,Nenhum
808,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/PremiumChart.tsx,BAIXO,Nenhum
809,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/hooks/useSpeech.ts,BAIXO,Nenhum
810,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/html/index.html,BAIXO,Nenhum
811,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/index.css,BAIXO,Nenhum
812,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/index.html,BAIXO,Nenhum
813,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/index.tsx,BAIXO,Nenhum
814,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/inject-pwa.cjs,BAIXO,Nenhum
815,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/manifest.json,BAIXO,Nenhum
816,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/metadata.json,BAIXO,Nenhum
817,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/okversaoclaud.html,BAIXO,Nenhum
818,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/package-lock.json,BAIXO,Nenhum
819,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/package.json,BAIXO,Nenhum
820,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/preview (19).html,BAIXO,Nenhum
821,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/regenera_bank_private_financial_os_blue_black_menu_20x (1).html,BAIXO,Nenhum
822,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/regenera_bank_private_financial_os_complete_23_modules.html,BAIXO,Nenhum
823,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/regeneraoktop.html,BAIXO,Nenhum
824,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/services/RB.ts,ALTO,Segredo encontrado
825,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/services/geminiService.ts,BAIXO,Nenhum
826,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/services/regeneraoktop.html,BAIXO,Nenhum
827,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/sw.js,BAIXO,Nenhum
828,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/transform.cjs,ALTO,Segredo encontrado
829,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/tsconfig.json,BAIXO,Nenhum
830,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/types.ts,BAIXO,Nenhum
831,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/vercel.json,BAIXO,Nenhum
832,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/vite.config.ts,BAIXO,Nenhum
1497,04-bffs/regenera-api-partners/docs/source-material/webhook.service.ts,BAIXO,Nenhum
1947,02-contracts/regenera-contracts-events/docs/source-material/domain-event.interface.ts,BAIXO,Nenhum
2623,06-risk-control/regenera-control-audit/docs/source-material/audit-context.middleware.ts,BAIXO,Nenhum
2624,06-risk-control/regenera-control-audit/docs/source-material/audit-sign.ts,BAIXO,Nenhum
3481,06-risk-control/regenera-risk-kyc/docs/source-material/compliance-privacy.sql,BAIXO,Nenhum
3482,06-risk-control/regenera-risk-kyc/docs/source-material/kyc.service.ts,BAIXO,Nenhum
3483,06-risk-control/regenera-risk-kyc/docs/source-material/pep.provider.ts,BAIXO,Nenhum
3680,05-core-banking/regenera-core-ledger/docs/source-material/0001-financial-foundation.sql,BAIXO,Nenhum
3681,05-core-banking/regenera-core-ledger/docs/source-material/money.value-object.ts,BAIXO,Nenhum
3960,05-core-banking/regenera-core-payment-orchestrator/docs/source-material/idempotency-log.entity.ts,BAIXO,Nenhum
3961,05-core-banking/regenera-core-payment-orchestrator/docs/source-material/idempotency.service.ts,BAIXO,Nenhum
3962,05-core-banking/regenera-core-payment-orchestrator/docs/source-material/outbox-event.entity.ts,BAIXO,Nenhum
4146,06-risk-control/regenera-control-reconciliation/docs/source-material/reconciliation-run.entity.ts,BAIXO,Nenhum
4147,06-risk-control/regenera-control-reconciliation/docs/source-material/reconciliation.service.ts,BAIXO,Nenhum
4277,05-core-banking/regenera-core-session/docs/source-material/auth-and-inbound.sql,BAIXO,Nenhum
5015,16-documentation/source-material/API/ERROR_CODES.md,BAIXO,Nenhum
5016,16-documentation/source-material/Architecture/SCALING_STRATEGY.md,BAIXO,Nenhum
5017,16-documentation/source-material/Architecture/SECURITY_ARCHITECTURE.md,BAIXO,Nenhum
5018,16-documentation/source-material/Architecture/SIEM_PENTEST_PLAN.md,BAIXO,Nenhum
5019,16-documentation/source-material/Architecture/SYSTEM_DESIGN.md,BAIXO,Nenhum
5020,16-documentation/source-material/Compliance/AUDIT_LOGGING.md,BAIXO,Nenhum
5021,16-documentation/source-material/Compliance/DATA_RETENTION_POLICY.md,BAIXO,Nenhum
5022,16-documentation/source-material/Runbooks/CERTIFICATE_ROTATION.md,BAIXO,Nenhum
5023,16-documentation/source-material/Runbooks/DISASTER_RECOVERY.md,BAIXO,Nenhum
5024,16-documentation/source-material/Runbooks/INCIDENT_RESPONSE.md,BAIXO,Nenhum
7207,10-platform/regenera-platform-event-bus/docs/source-material/pubsub-client.ts,BAIXO,Nenhum
7558,07-integrations/regenera-integration-kyc-providers/docs/source-material/datavalid.client.ts,BAIXO,Nenhum
7828,10-platform/regenera-platform-kubernetes/docs/source-material/application.yaml,BAIXO,Nenhum
7829,10-platform/regenera-platform-kubernetes/docs/source-material/authorization-policy.yaml,BAIXO,Nenhum
7830,10-platform/regenera-platform-kubernetes/docs/source-material/core-deployment.yaml,BAIXO,Nenhum
7831,10-platform/regenera-platform-kubernetes/docs/source-material/peer-authentication.yaml,BAIXO,Nenhum
7832,10-platform/regenera-platform-kubernetes/docs/source-material/virtual-service-canary.yaml,BAIXO,Nenhum
7913,10-platform/regenera-platform-observability/docs/source-material/metrics.service.ts,BAIXO,Nenhum
7914,10-platform/regenera-platform-observability/docs/source-material/tracing.service.ts,BAIXO,Nenhum
