id,arquivo,licenca
775,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/10.Regenera-Nome_Modules-App.tsx,AUSENTE
776,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx,AUSENTE
777,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx.tsx,AUSENTE
779,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.gitignore,AUSENTE
784,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/apply-audit.cjs,AUSENTE
799,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Modules/NeuralInsights.tsx,AUSENTE
806,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/UI/ErrorBoundary.tsx,AUSENTE
814,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/inject-pwa.cjs,AUSENTE
824,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/services/RB.ts,AUSENTE
827,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/sw.js,AUSENTE
832,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/vite.config.ts,AUSENTE
1947,02-contracts/regenera-contracts-events/docs/source-material/domain-event.interface.ts,AUSENTE
3483,06-risk-control/regenera-risk-kyc/docs/source-material/pep.provider.ts,AUSENTE
3681,05-core-banking/regenera-core-ledger/docs/source-material/money.value-object.ts,AUSENTE
4146,06-risk-control/regenera-control-reconciliation/docs/source-material/reconciliation-run.entity.ts,AUSENTE
7558,07-integrations/regenera-integration-kyc-providers/docs/source-material/datavalid.client.ts,AUSENTE
7913,10-platform/regenera-platform-observability/docs/source-material/metrics.service.ts,AUSENTE
7914,10-platform/regenera-platform-observability/docs/source-material/tracing.service.ts,AUSENTE
