id,caminho,classificacao_anterior,classificacao_corrigida,placeholder_confirmado,intencionalmente_minimo
15,governance/release/repository-root/CODEOWNERS,C,C,SIM,NAO
16,governance/release/repository-root/CONTRIBUTING.md,A,A,SIM,NAO
17,governance/release/repository-root/LICENSE.md,A,A,SIM,NAO
18,governance/release/repository-root/Makefile,B,C,SIM,NAO
20,governance/release/repository-root/SECURITY.md,A,A,SIM,NAO
21,governance/release/repository-root/SUPPORT.md,A,A,SIM,NAO
22,governance/release/repository-root/Taskfile.yml,B,C,SIM,NAO
36,apps/android/.tool-versions,C,C,SIM,NAO
39,apps/android/CODEOWNERS,C,C,SIM,NAO
355,apps/ios/.tool-versions,C,C,SIM,NAO
367,apps/ios/CODEOWNERS,C,C,SIM,NAO
603,apps/partner-developer-portal/.tool-versions,C,C,SIM,NAO
605,apps/partner-developer-portal/CODEOWNERS,C,C,SIM,NAO
681,apps/web-banking/.tool-versions,C,C,SIM,NAO
684,apps/web-banking/CODEOWNERS,C,C,SIM,NAO
1148,apps/windows-operations/.tool-versions,C,C,SIM,NAO
1154,apps/windows-operations/CODEOWNERS,C,C,SIM,NAO
1306,bff/mobile-bff/.tool-versions,C,C,SIM,NAO
1308,bff/mobile-bff/CODEOWNERS,C,C,SIM,NAO
1365,bff/open-finance-api/.tool-versions,C,C,SIM,NAO
1367,bff/open-finance-api/CODEOWNERS,C,C,SIM,NAO
1402,bff/operations-bff/.tool-versions,C,C,SIM,NAO
1404,bff/operations-bff/CODEOWNERS,C,C,SIM,NAO
1465,bff/partner-api-facade/.tool-versions,C,C,SIM,NAO
1468,bff/partner-api-facade/CODEOWNERS,C,C,SIM,NAO
1555,bff/web-bff/.tool-versions,C,C,SIM,NAO
1557,bff/web-bff/CODEOWNERS,C,C,SIM,NAO
1605,governance/release/repository-root/compose.yaml,B,C,SIM,NAO
1617,contracts/iso20022/adapters/.tool-versions,C,C,SIM,NAO
1619,contracts/iso20022/adapters/CODEOWNERS,C,C,SIM,NAO
1654,contracts/iso20022/mappings/.tool-versions,C,C,SIM,NAO
1656,contracts/iso20022/mappings/CODEOWNERS,C,C,SIM,NAO
1691,contracts/iso20022/messages/.tool-versions,C,C,SIM,NAO
1693,contracts/iso20022/messages/CODEOWNERS,C,C,SIM,NAO
1728,contracts/iso20022/schemas/.tool-versions,C,C,SIM,NAO
1730,contracts/iso20022/schemas/CODEOWNERS,C,C,SIM,NAO
1766,contracts/iso20022/tests/.tool-versions,C,C,SIM,NAO
1768,contracts/iso20022/tests/CODEOWNERS,C,C,SIM,NAO
1803,contracts/iso20022/validation/.tool-versions,C,C,SIM,NAO
1805,contracts/iso20022/validation/CODEOWNERS,C,C,SIM,NAO
1840,contracts/asyncapi/.tool-versions,C,C,SIM,NAO
1842,contracts/asyncapi/CODEOWNERS,C,C,SIM,NAO
1884,contracts/error-catalog/.tool-versions,C,C,SIM,NAO
1886,contracts/error-catalog/CODEOWNERS,C,C,SIM,NAO
1926,contracts/events/.tool-versions,C,C,SIM,NAO
1928,contracts/events/CODEOWNERS,C,C,SIM,NAO
1966,contracts/json-schema/.tool-versions,C,C,SIM,NAO
1968,contracts/json-schema/CODEOWNERS,C,C,SIM,NAO
2010,contracts/openapi/.tool-versions,C,C,SIM,NAO
2012,contracts/openapi/CODEOWNERS,C,C,SIM,NAO
2060,contracts/sdk/.tool-versions,C,C,SIM,NAO
2097,design-system/android/.tool-versions,C,C,SIM,NAO
2099,design-system/android/CODEOWNERS,C,C,SIM,NAO
2134,design-system/documentation/.tool-versions,C,C,SIM,NAO
2136,design-system/documentation/CODEOWNERS,C,C,SIM,NAO
2172,design-system/ios/.tool-versions,C,C,SIM,NAO
2174,design-system/ios/CODEOWNERS,C,C,SIM,NAO
2209,design-system/tokens/.tool-versions,C,C,SIM,NAO
2211,design-system/tokens/CODEOWNERS,C,C,SIM,NAO
2260,design-system/web/.tool-versions,C,C,SIM,NAO
2262,design-system/web/CODEOWNERS,C,C,SIM,NAO
2343,design-system/windows/.tool-versions,C,C,SIM,NAO
2345,design-system/windows/CODEOWNERS,C,C,SIM,NAO
2382,domains/accounting/.tool-versions,C,C,SIM,NAO
2384,domains/accounting/CODEOWNERS,C,C,SIM,NAO
2405,domains/cosif/.tool-versions,C,C,SIM,NAO
2407,domains/cosif/CODEOWNERS,C,C,SIM,NAO
2470,domains/accounts/.tool-versions,C,C,SIM,NAO
2472,domains/accounts/CODEOWNERS,C,C,SIM,NAO
2542,domains/aml/.tool-versions,C,C,SIM,NAO
2544,domains/aml/CODEOWNERS,C,C,SIM,NAO
2603,governance/audit/.tool-versions,C,C,SIM,NAO
2605,governance/audit/CODEOWNERS,C,C,SIM,NAO
2642,domains/balance/.tool-versions,C,C,SIM,NAO
2644,domains/balance/CODEOWNERS,C,C,SIM,NAO
2679,domains/card-authorization/.tool-versions,C,C,SIM,NAO
2681,domains/card-authorization/CODEOWNERS,C,C,SIM,NAO
