id,caminho,dominio,funcao_arquitetural,consumidores,contratos,invariantes,estados_erro,requisitos_idempotencia,requisitos_auditoria,requisitos_observabilidade,requisitos_seguranca,dependencias,migrations_relacionadas,testes_minimos,criterios_aceite,decisoes_ausentes,status_p0
20,governance/release/repository-root/SECURITY.md,FUNDAÇÃO DO WORKSPACE,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
2382,domains/accounting/.tool-versions,CONTROLE E CONFIABILIDADE,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
2384,domains/accounting/CODEOWNERS,CONTROLE E CONFIABILIDADE,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
2470,domains/accounts/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
2472,domains/accounts/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
2679,domains/card-authorization/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
2681,domains/card-authorization/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_SECURITY_REQUIREMENT
3059,domains/customer-support/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
3061,domains/customer-support/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
3096,domains/customers/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
3098,domains/customers/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
3425,domains/identity/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
3427,domains/identity/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
3650,domains/ledger/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_CONTRACT_REQUIRED
3652,domains/ledger/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_CONTRACT_REQUIRED
3940,domains/payment-orchestrator/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_CONTRACT_REQUIRED
4012,domains/pix/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
4014,domains/pix/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
4125,domains/reconciliation/.tool-versions,CONTROLE E CONFIABILIDADE,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
4127,domains/reconciliation/CODEOWNERS,CONTROLE E CONFIABILIDADE,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
4332,domains/transactions/.tool-versions,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
4334,domains/transactions/CODEOWNERS,SERVIÇOS DE DOMÍNIO,Core Bancário Crítico,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,ALTO,ALTO,ALTO,ALTO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,"Tudo (regras, integrações, contratos)",BLOCKED_DOMAIN_DECISION
