id,caminho,tipo_anterior,tipo_corrigido,justificativa
2382,domains/accounting/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
2384,domains/accounting/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
2470,domains/accounts/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
2472,domains/accounts/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
2679,domains/card-authorization/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
2681,domains/card-authorization/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
3059,domains/customer-support/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
3061,domains/customer-support/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
3096,domains/customers/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
3098,domains/customers/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
3425,domains/identity/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
3427,domains/identity/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
3650,domains/ledger/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
3652,domains/ledger/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
3940,domains/payment-orchestrator/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
4012,domains/pix/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
4014,domains/pix/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
4125,domains/reconciliation/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
4127,domains/reconciliation/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
4332,domains/transactions/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
4334,domains/transactions/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
5662,governance/regulatory/cybersecurity/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
5778,governance/regulatory/pix/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
5780,governance/regulatory/pix/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
6021,governance/runbooks/operations/accounting/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
6206,governance/runbooks/operations/customer-support/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
6354,governance/runbooks/operations/payment/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
6356,governance/runbooks/operations/payment/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
6391,governance/runbooks/operations/pix/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
6393,governance/runbooks/operations/pix/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
6428,governance/runbooks/operations/reconciliation/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
7979,platform/security/appsec/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
7981,platform/security/appsec/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8016,platform/security/cloud/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8018,platform/security/cloud/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8053,platform/security/detection/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8055,platform/security/detection/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8090,platform/security/iam/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8092,platform/security/iam/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8127,platform/security/incident-response/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8164,platform/security/kms-hsm/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8166,platform/security/kms-hsm/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8201,platform/security/mobile/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8203,platform/security/mobile/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8238,platform/security/pam/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8240,platform/security/pam/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8275,platform/security/pki/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8277,platform/security/pki/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8312,platform/security/red-team/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8314,platform/security/red-team/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
8349,platform/security/threat-intelligence/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8386,platform/security/vulnerability-management/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
8675,platform/tools/migration-validator/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
9226,quality/security/.tool-versions,C,B,Nome de arquivo indica configuração técnica estrutural.
9228,quality/security/CODEOWNERS,C,B,Nome de arquivo indica configuração técnica estrutural.
