id,caminho,motivo
20,governance/release/repository-root/SECURITY.md,Arquivo Tipo A rebaixado para P1
2382,domains/accounting/.tool-versions,Arquivo Tipo C rebaixado para P3
2384,domains/accounting/CODEOWNERS,Arquivo Tipo C rebaixado para P3
2470,domains/accounts/.tool-versions,Arquivo Tipo C rebaixado para P3
2472,domains/accounts/CODEOWNERS,Arquivo Tipo C rebaixado para P3
2679,domains/card-authorization/.tool-versions,Arquivo Tipo C rebaixado para P3
2681,domains/card-authorization/CODEOWNERS,Arquivo Tipo C rebaixado para P3
3059,domains/customer-support/.tool-versions,Arquivo Tipo C rebaixado para P3
3061,domains/customer-support/CODEOWNERS,Arquivo Tipo C rebaixado para P3
3096,domains/customers/.tool-versions,Arquivo Tipo C rebaixado para P3
3098,domains/customers/CODEOWNERS,Arquivo Tipo C rebaixado para P3
3425,domains/identity/.tool-versions,Arquivo Tipo C rebaixado para P3
3427,domains/identity/CODEOWNERS,Arquivo Tipo C rebaixado para P3
3650,domains/ledger/.tool-versions,Arquivo Tipo C rebaixado para P3
3652,domains/ledger/CODEOWNERS,Arquivo Tipo C rebaixado para P3
3940,domains/payment-orchestrator/.tool-versions,Arquivo Tipo C rebaixado para P3
4012,domains/pix/.tool-versions,Arquivo Tipo C rebaixado para P3
4014,domains/pix/CODEOWNERS,Arquivo Tipo C rebaixado para P3
4125,domains/reconciliation/.tool-versions,Arquivo Tipo C rebaixado para P3
4127,domains/reconciliation/CODEOWNERS,Arquivo Tipo C rebaixado para P3
4332,domains/transactions/.tool-versions,Arquivo Tipo C rebaixado para P3
4334,domains/transactions/CODEOWNERS,Arquivo Tipo C rebaixado para P3
5662,governance/regulatory/cybersecurity/.tool-versions,Arquivo Tipo C rebaixado para P3
5778,governance/regulatory/pix/.tool-versions,Arquivo Tipo C rebaixado para P3
5780,governance/regulatory/pix/CODEOWNERS,Arquivo Tipo C rebaixado para P3
6021,governance/runbooks/operations/accounting/.tool-versions,Arquivo Tipo C rebaixado para P3
6206,governance/runbooks/operations/customer-support/.tool-versions,Arquivo Tipo C rebaixado para P3
6354,governance/runbooks/operations/payment/.tool-versions,Arquivo Tipo C rebaixado para P3
6356,governance/runbooks/operations/payment/CODEOWNERS,Arquivo Tipo C rebaixado para P3
6391,governance/runbooks/operations/pix/.tool-versions,Arquivo Tipo C rebaixado para P3
6393,governance/runbooks/operations/pix/CODEOWNERS,Arquivo Tipo C rebaixado para P3
6428,governance/runbooks/operations/reconciliation/.tool-versions,Arquivo Tipo C rebaixado para P3
7979,platform/security/appsec/.tool-versions,Arquivo Tipo C rebaixado para P3
7981,platform/security/appsec/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8016,platform/security/cloud/.tool-versions,Arquivo Tipo C rebaixado para P3
8018,platform/security/cloud/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8053,platform/security/detection/.tool-versions,Arquivo Tipo C rebaixado para P3
8055,platform/security/detection/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8090,platform/security/iam/.tool-versions,Arquivo Tipo C rebaixado para P3
8092,platform/security/iam/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8127,platform/security/incident-response/.tool-versions,Arquivo Tipo C rebaixado para P3
8164,platform/security/kms-hsm/.tool-versions,Arquivo Tipo C rebaixado para P3
8166,platform/security/kms-hsm/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8201,platform/security/mobile/.tool-versions,Arquivo Tipo C rebaixado para P3
8203,platform/security/mobile/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8238,platform/security/pam/.tool-versions,Arquivo Tipo C rebaixado para P3
8240,platform/security/pam/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8275,platform/security/pki/.tool-versions,Arquivo Tipo C rebaixado para P3
8277,platform/security/pki/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8312,platform/security/red-team/.tool-versions,Arquivo Tipo C rebaixado para P3
8314,platform/security/red-team/CODEOWNERS,Arquivo Tipo C rebaixado para P3
8349,platform/security/threat-intelligence/.tool-versions,Arquivo Tipo C rebaixado para P3
8386,platform/security/vulnerability-management/.tool-versions,Arquivo Tipo C rebaixado para P3
8675,platform/tools/migration-validator/.tool-versions,Arquivo Tipo C rebaixado para P3
9226,quality/security/.tool-versions,Arquivo Tipo C rebaixado para P3
9228,quality/security/CODEOWNERS,Arquivo Tipo C rebaixado para P3
