id,caminho,prioridade_anterior,prioridade_corrigida
15,governance/release/repository-root/CODEOWNERS,P1,P2
16,governance/release/repository-root/CONTRIBUTING.md,P3,P3
17,governance/release/repository-root/LICENSE.md,P3,P3
18,governance/release/repository-root/Makefile,P1,P2
20,governance/release/repository-root/SECURITY.md,P0,P1
21,governance/release/repository-root/SUPPORT.md,P3,P3
22,governance/release/repository-root/Taskfile.yml,P1,P2
36,apps/android/.tool-versions,P1,P2
39,apps/android/CODEOWNERS,P1,P2
355,apps/ios/.tool-versions,P1,P2
367,apps/ios/CODEOWNERS,P1,P2
603,apps/partner-developer-portal/.tool-versions,P3,P2
605,apps/partner-developer-portal/CODEOWNERS,P1,P2
681,apps/web-banking/.tool-versions,P1,P2
684,apps/web-banking/CODEOWNERS,P1,P2
1148,apps/windows-operations/.tool-versions,P1,P2
1154,apps/windows-operations/CODEOWNERS,P1,P2
1306,bff/mobile-bff/.tool-versions,P1,P2
1308,bff/mobile-bff/CODEOWNERS,P1,P2
1365,bff/open-finance-api/.tool-versions,P1,P2
1367,bff/open-finance-api/CODEOWNERS,P1,P2
1402,bff/operations-bff/.tool-versions,P1,P2
1404,bff/operations-bff/CODEOWNERS,P1,P2
1465,bff/partner-api-facade/.tool-versions,P1,P2
1468,bff/partner-api-facade/CODEOWNERS,P1,P2
1555,bff/web-bff/.tool-versions,P1,P2
1557,bff/web-bff/CODEOWNERS,P1,P2
1605,governance/release/repository-root/compose.yaml,P1,P2
1617,contracts/iso20022/adapters/.tool-versions,P3,P2
1619,contracts/iso20022/adapters/CODEOWNERS,P1,P2
1654,contracts/iso20022/mappings/.tool-versions,P3,P2
1656,contracts/iso20022/mappings/CODEOWNERS,P1,P2
1691,contracts/iso20022/messages/.tool-versions,P3,P2
1693,contracts/iso20022/messages/CODEOWNERS,P1,P2
1728,contracts/iso20022/schemas/.tool-versions,P3,P2
1730,contracts/iso20022/schemas/CODEOWNERS,P1,P2
1766,contracts/iso20022/tests/.tool-versions,P3,P3
1768,contracts/iso20022/tests/CODEOWNERS,P1,P3
1803,contracts/iso20022/validation/.tool-versions,P3,P2
1805,contracts/iso20022/validation/CODEOWNERS,P1,P2
1840,contracts/asyncapi/.tool-versions,P3,P2
1842,contracts/asyncapi/CODEOWNERS,P1,P2
1884,contracts/error-catalog/.tool-versions,P3,P2
1886,contracts/error-catalog/CODEOWNERS,P1,P2
1926,contracts/events/.tool-versions,P3,P2
1928,contracts/events/CODEOWNERS,P1,P2
1966,contracts/json-schema/.tool-versions,P3,P2
1968,contracts/json-schema/CODEOWNERS,P1,P2
2010,contracts/openapi/.tool-versions,P3,P2
2012,contracts/openapi/CODEOWNERS,P1,P2
2060,contracts/sdk/.tool-versions,P3,P2
2097,design-system/android/.tool-versions,P1,P2
2099,design-system/android/CODEOWNERS,P1,P2
2134,design-system/documentation/.tool-versions,P3,P2
2136,design-system/documentation/CODEOWNERS,P1,P2
2172,design-system/ios/.tool-versions,P1,P2
2174,design-system/ios/CODEOWNERS,P1,P2
2209,design-system/tokens/.tool-versions,P3,P2
2211,design-system/tokens/CODEOWNERS,P1,P2
2260,design-system/web/.tool-versions,P3,P2
2262,design-system/web/CODEOWNERS,P1,P2
2343,design-system/windows/.tool-versions,P1,P2
2345,design-system/windows/CODEOWNERS,P1,P2
2382,domains/accounting/.tool-versions,P0,P3
2384,domains/accounting/CODEOWNERS,P0,P3
2405,domains/cosif/.tool-versions,P3,P2
2407,domains/cosif/CODEOWNERS,P1,P2
2470,domains/accounts/.tool-versions,P0,P3
2472,domains/accounts/CODEOWNERS,P0,P3
2542,domains/aml/.tool-versions,P1,P2
2544,domains/aml/CODEOWNERS,P1,P2
2603,governance/audit/.tool-versions,P3,P2
2605,governance/audit/CODEOWNERS,P1,P2
2642,domains/balance/.tool-versions,P3,P2
2644,domains/balance/CODEOWNERS,P1,P2
2679,domains/card-authorization/.tool-versions,P0,P3
2681,domains/card-authorization/CODEOWNERS,P0,P3
2716,domains/card-clearing/.tool-versions,P3,P2
2718,domains/card-clearing/CODEOWNERS,P1,P2
2753,domains/cards/.tool-versions,P3,P2
2755,domains/cards/CODEOWNERS,P1,P2
2815,domains/case-management/.tool-versions,P3,P2
2817,domains/case-management/CODEOWNERS,P1,P2
2852,domains/consents/.tool-versions,P3,P2
2854,domains/consents/CODEOWNERS,P1,P2
2889,domains/credit-decision/.tool-versions,P3,P2
2891,domains/credit-decision/CODEOWNERS,P1,P2
2926,domains/credit-origination/.tool-versions,P3,P2
2928,domains/credit-origination/CODEOWNERS,P1,P2
2963,domains/credit/.tool-versions,P3,P2
2965,domains/credit/CODEOWNERS,P1,P2
3022,domains/custody-positions/.tool-versions,P3,P2
3024,domains/custody-positions/CODEOWNERS,P1,P2
3059,domains/customer-support/.tool-versions,P0,P3
3061,domains/customer-support/CODEOWNERS,P0,P3
3096,domains/customers/.tool-versions,P0,P3
3098,domains/customers/CODEOWNERS,P0,P3
3172,domains/device-trust/.tool-versions,P3,P2
3174,domains/device-trust/CODEOWNERS,P1,P2
3209,domains/disputes/.tool-versions,P3,P2
3211,domains/disputes/CODEOWNERS,P1,P2
3246,domains/documents/.tool-versions,P3,P2
3248,domains/documents/CODEOWNERS,P1,P2
3283,domains/fees/.tool-versions,P3,P2
3285,domains/fees/CODEOWNERS,P1,P2
3333,domains/fraud/.tool-versions,P1,P2
3335,domains/fraud/CODEOWNERS,P1,P2
3388,domains/fx/.tool-versions,P3,P2
3390,domains/fx/CODEOWNERS,P1,P2
3425,domains/identity/.tool-versions,P0,P3
3427,domains/identity/CODEOWNERS,P0,P3
3461,domains/kyc/.tool-versions,P1,P2
3463,domains/kyc/CODEOWNERS,P1,P2
3548,domains/investment-orders/.tool-versions,P3,P2
3550,domains/investment-orders/CODEOWNERS,P1,P2
3613,domains/invoices/.tool-versions,P3,P2
3615,domains/invoices/CODEOWNERS,P1,P2
3650,domains/ledger/.tool-versions,P0,P3
3652,domains/ledger/CODEOWNERS,P0,P3
3761,domains/limits/.tool-versions,P3,P2
3763,domains/limits/CODEOWNERS,P1,P2
3811,domains/loan-servicing/.tool-versions,P3,P2
3813,domains/loan-servicing/CODEOWNERS,P1,P2
3848,domains/notifications/.tool-versions,P3,P2
3850,domains/notifications/CODEOWNERS,P1,P2
3903,domains/onboarding/.tool-versions,P3,P2
3905,domains/onboarding/CODEOWNERS,P1,P2
3940,domains/payment-orchestrator/.tool-versions,P0,P3
4012,domains/pix/.tool-versions,P0,P3
4014,domains/pix/CODEOWNERS,P0,P3
4088,domains/product-catalog/.tool-versions,P3,P2
4090,domains/product-catalog/CODEOWNERS,P1,P2
4125,domains/reconciliation/.tool-versions,P0,P3
4127,domains/reconciliation/CODEOWNERS,P0,P3
4183,governance/regulatory-reporting/.tool-versions,P3,P2
4220,domains/sanctions/.tool-versions,P3,P2
4222,domains/sanctions/CODEOWNERS,P1,P2
4257,domains/session/.tool-versions,P3,P2
4259,domains/session/CODEOWNERS,P1,P2
4295,domains/statements/.tool-versions,P3,P2
4297,domains/statements/CODEOWNERS,P1,P2
4332,domains/transactions/.tool-versions,P0,P3
4334,domains/transactions/CODEOWNERS,P0,P3
5036,governance/policies/engineering/.tool-versions,P3,P2
5079,governance/architecture/.tool-versions,P3,P2
5081,governance/architecture/CODEOWNERS,P1,P2
5135,governance/product/.tool-versions,P3,P2
5137,governance/product/CODEOWNERS,P1,P2
5472,governance/regulatory/aml/.tool-versions,P1,P2
5474,governance/regulatory/aml/CODEOWNERS,P1,P2
5510,governance/regulatory/card-pci/.tool-versions,P3,P2
5512,governance/regulatory/card-pci/CODEOWNERS,P1,P2
5548,governance/regulatory/cloud-outsourcing/.tool-versions,P3,P2
5586,governance/regulatory/cosif/.tool-versions,P3,P2
5588,governance/regulatory/cosif/CODEOWNERS,P1,P2
5624,governance/regulatory/cvm/.tool-versions,P3,P2
5626,governance/regulatory/cvm/CODEOWNERS,P1,P2
5662,governance/regulatory/cybersecurity/.tool-versions,P0,P3
5700,governance/regulatory/lgpd/.tool-versions,P3,P2
5702,governance/regulatory/lgpd/CODEOWNERS,P1,P2
