id,caminho,tipo,prioridade,tamanho
22,Taskfile.yml,B,P1,13
355,03-channels/regenera-channel-ios/.tool-versions,C,P1,10
367,03-channels/regenera-channel-ios/CODEOWNERS,C,P1,16
603,03-channels/regenera-channel-partner-portal/.tool-versions,C,P3,15
681,03-channels/regenera-channel-web-banking/.tool-versions,C,P1,15
684,03-channels/regenera-channel-web-banking/CODEOWNERS,C,P1,16
1148,03-channels/regenera-channel-windows-operations/.tool-versions,C,P1,13
1306,04-bffs/regenera-bff-mobile/.tool-versions,C,P1,15
1308,04-bffs/regenera-bff-mobile/CODEOWNERS,C,P1,19
1365,04-bffs/regenera-api-open-finance/.tool-versions,C,P1,15
1402,04-bffs/regenera-bff-operations/.tool-versions,C,P1,15
1465,04-bffs/regenera-api-partners/.tool-versions,C,P1,15
1555,04-bffs/regenera-bff-web/.tool-versions,C,P1,15
1557,04-bffs/regenera-bff-web/CODEOWNERS,C,P1,16
1605,compose.yaml,B,P1,13
1617,08-iso20022/regenera-iso20022-adapters/.tool-versions,C,P3,7
1654,08-iso20022/regenera-iso20022-mappings/.tool-versions,C,P3,7
1691,08-iso20022/regenera-iso20022-messages/.tool-versions,C,P3,14
1728,08-iso20022/regenera-iso20022-schemas/.tool-versions,C,P3,14
1766,08-iso20022/regenera-iso20022-tests/.tool-versions,C,P3,7
1803,08-iso20022/regenera-iso20022-validation/.tool-versions,C,P3,7
1840,02-contracts/regenera-contracts-asyncapi/.tool-versions,C,P3,15
1884,02-contracts/regenera-contracts-error-catalog/.tool-versions,C,P3,14
1926,02-contracts/regenera-contracts-events/.tool-versions,C,P3,15
1966,02-contracts/regenera-contracts-json-schema/.tool-versions,C,P3,15
2010,02-contracts/regenera-contracts-openapi/.tool-versions,C,P3,15
2060,02-contracts/regenera-contracts-sdk/.tool-versions,C,P3,15
2134,01-design-system/regenera-design-documentation/.tool-versions,C,P3,14
2172,01-design-system/regenera-design-ios/.tool-versions,C,P1,10
2209,01-design-system/regenera-design-tokens/.tool-versions,C,P3,15
2260,01-design-system/regenera-design-web/.tool-versions,C,P3,15
2343,01-design-system/regenera-design-windows/.tool-versions,C,P1,13
2382,06-risk-control/regenera-control-accounting/.tool-versions,C,P0,7
2405,06-risk-control/regenera-control-cosif/.tool-versions,C,P3,7
2407,06-risk-control/regenera-control-cosif/CODEOWNERS,C,P1,18
2470,05-core-banking/regenera-core-accounts/.tool-versions,C,P0,7
2542,06-risk-control/regenera-risk-aml/.tool-versions,C,P1,7
2544,06-risk-control/regenera-risk-aml/CODEOWNERS,C,P1,16
2603,06-risk-control/regenera-control-audit/.tool-versions,C,P3,7
2605,06-risk-control/regenera-control-audit/CODEOWNERS,C,P1,18
2642,05-core-banking/regenera-core-balance/.tool-versions,C,P3,7
2679,05-core-banking/regenera-core-card-authorization/.tool-versions,C,P0,7
2716,05-core-banking/regenera-core-card-clearing/.tool-versions,C,P3,7
2753,05-core-banking/regenera-core-cards/.tool-versions,C,P3,7
2755,05-core-banking/regenera-core-cards/CODEOWNERS,C,P1,18
