id,caminho,tipo,prioridade,tamanho
16,CONTRIBUTING.md,A,P3,25
17,LICENSE.md,A,P3,25
21,SUPPORT.md,A,P3,25
603,03-channels/regenera-channel-partner-portal/.tool-versions,C,P3,15
1617,08-iso20022/regenera-iso20022-adapters/.tool-versions,C,P3,7
1654,08-iso20022/regenera-iso20022-mappings/.tool-versions,C,P3,7
1691,08-iso20022/regenera-iso20022-messages/.tool-versions,C,P3,14
1728,08-iso20022/regenera-iso20022-schemas/.tool-versions,C,P3,14
1766,08-iso20022/regenera-iso20022-tests/.tool-versions,C,P3,7
1803,08-iso20022/regenera-iso20022-validation/.tool-versions,C,P3,7
1840,02-contracts/regenera-contracts-asyncapi/.tool-versions,C,P3,15
1884,02-contracts/regenera-contracts-error-catalog/.tool-versions,C,P3,14
1926,02-contracts/regenera-contracts-events/.tool-versions,C,P3,15
1966,02-contracts/regenera-contracts-json-schema/.tool-versions,C,P3,15
2010,02-contracts/regenera-contracts-openapi/.tool-versions,C,P3,15
2060,02-contracts/regenera-contracts-sdk/.tool-versions,C,P3,15
2134,01-design-system/regenera-design-documentation/.tool-versions,C,P3,14
2209,01-design-system/regenera-design-tokens/.tool-versions,C,P3,15
2260,01-design-system/regenera-design-web/.tool-versions,C,P3,15
2405,06-risk-control/regenera-control-cosif/.tool-versions,C,P3,7
2603,06-risk-control/regenera-control-audit/.tool-versions,C,P3,7
2642,05-core-banking/regenera-core-balance/.tool-versions,C,P3,7
2716,05-core-banking/regenera-core-card-clearing/.tool-versions,C,P3,7
2753,05-core-banking/regenera-core-cards/.tool-versions,C,P3,7
2815,06-risk-control/regenera-control-case-management/.tool-versions,C,P3,7
2852,05-core-banking/regenera-core-consents/.tool-versions,C,P3,7
2889,05-core-banking/regenera-core-credit-decision/.tool-versions,C,P3,7
2926,05-core-banking/regenera-core-credit-origination/.tool-versions,C,P3,7
2963,06-risk-control/regenera-risk-credit/.tool-versions,C,P3,7
3022,05-core-banking/regenera-core-custody-positions/.tool-versions,C,P3,7
3172,05-core-banking/regenera-core-device-trust/.tool-versions,C,P3,7
3209,05-core-banking/regenera-core-disputes/.tool-versions,C,P3,7
3246,05-core-banking/regenera-core-documents/.tool-versions,C,P3,7
3283,05-core-banking/regenera-core-fees/.tool-versions,C,P3,7
3388,05-core-banking/regenera-core-fx/.tool-versions,C,P3,7
3548,05-core-banking/regenera-core-investment-orders/.tool-versions,C,P3,7
3613,05-core-banking/regenera-core-invoices/.tool-versions,C,P3,7
3761,05-core-banking/regenera-core-limits/.tool-versions,C,P3,7
3811,05-core-banking/regenera-core-loan-servicing/.tool-versions,C,P3,7
3848,05-core-banking/regenera-core-notifications/.tool-versions,C,P3,7
3903,05-core-banking/regenera-core-onboarding/.tool-versions,C,P3,7
4088,05-core-banking/regenera-core-product-catalog/.tool-versions,C,P3,7
4183,06-risk-control/regenera-control-regulatory-reporting/.tool-versions,C,P3,7
4220,06-risk-control/regenera-risk-sanctions/.tool-versions,C,P3,7
4257,05-core-banking/regenera-core-session/.tool-versions,C,P3,7
4295,05-core-banking/regenera-core-statements/.tool-versions,C,P3,7
5036,00-governance/regenera-engineering-governance/.tool-versions,C,P3,14
5079,00-governance/regenera-enterprise-architecture/.tool-versions,C,P3,14
5135,00-governance/regenera-product-governance/.tool-versions,C,P3,14
5510,12-regulatory/regenera-regulatory-card-pci/.tool-versions,C,P3,14
5548,12-regulatory/regenera-regulatory-cloud-outsourcing/.tool-versions,C,P3,14
5586,12-regulatory/regenera-regulatory-cosif/.tool-versions,C,P3,14
5624,12-regulatory/regenera-regulatory-cvm/.tool-versions,C,P3,14
5700,12-regulatory/regenera-regulatory-lgpd/.tool-versions,C,P3,14
5740,12-regulatory/regenera-regulatory-open-finance/.tool-versions,C,P3,14
5816,12-regulatory/regenera-regulatory-reporting/.tool-versions,C,P3,14
5854,12-regulatory/regenera-regulatory-sisbacen/.tool-versions,C,P3,14
5892,12-regulatory/regenera-regulatory-sisorf/.tool-versions,C,P3,14
5930,12-regulatory/regenera-regulatory-susep/.tool-versions,C,P3,14
5968,12-regulatory/regenera-regulatory-unicad/.tool-versions,C,P3,14
6095,14-operations/regenera-operations-business-continuity/.tool-versions,C,P3,14
6576,10-platform/regenera-platform-cache/.tool-versions,C,P3,14
6616,10-platform/regenera-platform-ci-cd/.tool-versions,C,P3,14
6658,09-data-platform/regenera-data-analytics/.tool-versions,C,P3,14
6695,09-data-platform/regenera-data-finance-reporting/.tool-versions,C,P3,14
6732,09-data-platform/regenera-data-governance/.tool-versions,C,P3,14
6769,09-data-platform/regenera-data-ingestion/.tool-versions,C,P3,14
6806,09-data-platform/regenera-data-lake/.tool-versions,C,P3,14
6843,09-data-platform/regenera-data-lineage/.tool-versions,C,P3,14
6880,09-data-platform/regenera-data-privacy/.tool-versions,C,P3,14
6954,09-data-platform/regenera-data-risk-models/.tool-versions,C,P3,14
6991,09-data-platform/regenera-data-streaming/.tool-versions,C,P3,14
7028,09-data-platform/regenera-data-warehouse/.tool-versions,C,P3,14
7065,10-platform/regenera-platform-databases/.tool-versions,C,P3,14
7113,10-platform/regenera-platform-developer-portal/.tool-versions,C,P3,14
7187,10-platform/regenera-platform-event-bus/.tool-versions,C,P3,14
7234,07-integrations/regenera-integration-b3/.tool-versions,C,P3,7
7272,07-integrations/regenera-integration-bacen/.tool-versions,C,P3,7
7310,07-integrations/regenera-integration-bureaus/.tool-versions,C,P3,7
7348,07-integrations/regenera-integration-card-networks/.tool-versions,C,P3,7
7386,07-integrations/regenera-integration-card-processor/.tool-versions,C,P3,7
7424,07-integrations/regenera-integration-correspondents/.tool-versions,C,P3,7
7462,07-integrations/regenera-integration-custody/.tool-versions,C,P3,7
7500,07-integrations/regenera-integration-dict/.tool-versions,C,P3,7
7577,07-integrations/regenera-integration-notifications/.tool-versions,C,P3,7
7615,07-integrations/regenera-integration-open-finance/.tool-versions,C,P3,7
7656,07-integrations/regenera-integration-spi/.tool-versions,C,P3,7
7694,07-integrations/regenera-integration-susep/.tool-versions,C,P3,7
7732,07-integrations/regenera-integration-swift/.tool-versions,C,P3,7
7770,10-platform/regenera-platform-kms-hsm/.tool-versions,C,P3,14
7856,10-platform/regenera-platform-object-storage/.tool-versions,C,P3,14
7942,10-platform/regenera-platform-secrets/.tool-versions,C,P3,14
8423,10-platform/regenera-platform-siem/.tool-versions,C,P3,14
8520,15-tools/regenera-tool-comment-gate/.tool-versions,C,P3,14
8558,15-tools/regenera-tool-contract-linter/.tool-versions,B,P3,14
8596,15-tools/regenera-tool-developer-cli/.tool-versions,C,P3,14
8638,15-tools/regenera-tool-local-environment/.tool-versions,C,P3,14
8715,15-tools/regenera-tool-release-manifest/.tool-versions,C,P3,14
8752,15-tools/regenera-tool-sbom/.tool-versions,C,P3,14
8789,15-tools/regenera-tool-schema-validator/.tool-versions,C,P3,14
8826,15-tools/regenera-tool-secret-scanner/.tool-versions,C,P3,14
8864,15-tools/regenera-tool-test-data/.tool-versions,C,P3,14
