id,caminho,tipo,prioridade,tamanho
15,CODEOWNERS,C,P1,25
16,CONTRIBUTING.md,A,P3,25
17,LICENSE.md,A,P3,25
18,Makefile,B,P1,25
20,SECURITY.md,A,P0,25
21,SUPPORT.md,A,P3,25
22,Taskfile.yml,B,P1,13
36,03-channels/regenera-channel-android/.tool-versions,C,P1,20
39,03-channels/regenera-channel-android/CODEOWNERS,C,P1,20
355,03-channels/regenera-channel-ios/.tool-versions,C,P1,10
367,03-channels/regenera-channel-ios/CODEOWNERS,C,P1,16
603,03-channels/regenera-channel-partner-portal/.tool-versions,C,P3,15
605,03-channels/regenera-channel-partner-portal/CODEOWNERS,C,P1,21
681,03-channels/regenera-channel-web-banking/.tool-versions,C,P1,15
684,03-channels/regenera-channel-web-banking/CODEOWNERS,C,P1,16
1148,03-channels/regenera-channel-windows-operations/.tool-versions,C,P1,13
1154,03-channels/regenera-channel-windows-operations/CODEOWNERS,C,P1,23
1306,04-bffs/regenera-bff-mobile/.tool-versions,C,P1,15
1308,04-bffs/regenera-bff-mobile/CODEOWNERS,C,P1,19
1365,04-bffs/regenera-api-open-finance/.tool-versions,C,P1,15
1367,04-bffs/regenera-api-open-finance/CODEOWNERS,C,P1,25
1402,04-bffs/regenera-bff-operations/.tool-versions,C,P1,15
1404,04-bffs/regenera-bff-operations/CODEOWNERS,C,P1,23
1465,04-bffs/regenera-api-partners/.tool-versions,C,P1,15
1468,04-bffs/regenera-api-partners/CODEOWNERS,C,P1,21
1555,04-bffs/regenera-bff-web/.tool-versions,C,P1,15
1557,04-bffs/regenera-bff-web/CODEOWNERS,C,P1,16
1605,compose.yaml,B,P1,13
1617,08-iso20022/regenera-iso20022-adapters/.tool-versions,C,P3,7
1619,08-iso20022/regenera-iso20022-adapters/CODEOWNERS,C,P1,21
1654,08-iso20022/regenera-iso20022-mappings/.tool-versions,C,P3,7
1656,08-iso20022/regenera-iso20022-mappings/CODEOWNERS,C,P1,21
1691,08-iso20022/regenera-iso20022-messages/.tool-versions,C,P3,14
1693,08-iso20022/regenera-iso20022-messages/CODEOWNERS,C,P1,21
1728,08-iso20022/regenera-iso20022-schemas/.tool-versions,C,P3,14
1730,08-iso20022/regenera-iso20022-schemas/CODEOWNERS,C,P1,21
1766,08-iso20022/regenera-iso20022-tests/.tool-versions,C,P3,7
1768,08-iso20022/regenera-iso20022-tests/CODEOWNERS,C,P1,20
1803,08-iso20022/regenera-iso20022-validation/.tool-versions,C,P3,7
1805,08-iso20022/regenera-iso20022-validation/CODEOWNERS,C,P1,21
1840,02-contracts/regenera-contracts-asyncapi/.tool-versions,C,P3,15
1842,02-contracts/regenera-contracts-asyncapi/CODEOWNERS,C,P1,25
1884,02-contracts/regenera-contracts-error-catalog/.tool-versions,C,P3,14
1886,02-contracts/regenera-contracts-error-catalog/CODEOWNERS,C,P1,25
1926,02-contracts/regenera-contracts-events/.tool-versions,C,P3,15
1928,02-contracts/regenera-contracts-events/CODEOWNERS,C,P1,25
1966,02-contracts/regenera-contracts-json-schema/.tool-versions,C,P3,15
1968,02-contracts/regenera-contracts-json-schema/CODEOWNERS,C,P1,25
2010,02-contracts/regenera-contracts-openapi/.tool-versions,C,P3,15
2012,02-contracts/regenera-contracts-openapi/CODEOWNERS,C,P1,25
2060,02-contracts/regenera-contracts-sdk/.tool-versions,C,P3,15
2097,01-design-system/regenera-design-android/.tool-versions,C,P1,20
2099,01-design-system/regenera-design-android/CODEOWNERS,C,P1,26
2134,01-design-system/regenera-design-documentation/.tool-versions,C,P3,14
2136,01-design-system/regenera-design-documentation/CODEOWNERS,C,P1,26
2172,01-design-system/regenera-design-ios/.tool-versions,C,P1,10
2174,01-design-system/regenera-design-ios/CODEOWNERS,C,P1,26
2209,01-design-system/regenera-design-tokens/.tool-versions,C,P3,15
2211,01-design-system/regenera-design-tokens/CODEOWNERS,C,P1,26
2260,01-design-system/regenera-design-web/.tool-versions,C,P3,15
2262,01-design-system/regenera-design-web/CODEOWNERS,C,P1,26
2343,01-design-system/regenera-design-windows/.tool-versions,C,P1,13
2345,01-design-system/regenera-design-windows/CODEOWNERS,C,P1,26
2382,06-risk-control/regenera-control-accounting/.tool-versions,C,P0,7
2384,06-risk-control/regenera-control-accounting/CODEOWNERS,C,P0,23
2405,06-risk-control/regenera-control-cosif/.tool-versions,C,P3,7
2407,06-risk-control/regenera-control-cosif/CODEOWNERS,C,P1,18
2470,05-core-banking/regenera-core-accounts/.tool-versions,C,P0,7
2472,05-core-banking/regenera-core-accounts/CODEOWNERS,C,P0,21
2542,06-risk-control/regenera-risk-aml/.tool-versions,C,P1,7
2544,06-risk-control/regenera-risk-aml/CODEOWNERS,C,P1,16
2603,06-risk-control/regenera-control-audit/.tool-versions,C,P3,7
2605,06-risk-control/regenera-control-audit/CODEOWNERS,C,P1,18
2642,05-core-banking/regenera-core-balance/.tool-versions,C,P3,7
2644,05-core-banking/regenera-core-balance/CODEOWNERS,C,P1,20
2679,05-core-banking/regenera-core-card-authorization/.tool-versions,C,P0,7
2681,05-core-banking/regenera-core-card-authorization/CODEOWNERS,C,P0,31
2716,05-core-banking/regenera-core-card-clearing/.tool-versions,C,P3,7
2718,05-core-banking/regenera-core-card-clearing/CODEOWNERS,C,P1,26
2753,05-core-banking/regenera-core-cards/.tool-versions,C,P3,7
2755,05-core-banking/regenera-core-cards/CODEOWNERS,C,P1,18
2815,06-risk-control/regenera-control-case-management/.tool-versions,C,P3,7
2817,06-risk-control/regenera-control-case-management/CODEOWNERS,C,P1,28
2852,05-core-banking/regenera-core-consents/.tool-versions,C,P3,7
2854,05-core-banking/regenera-core-consents/CODEOWNERS,C,P1,21
2889,05-core-banking/regenera-core-credit-decision/.tool-versions,C,P3,7
2891,05-core-banking/regenera-core-credit-decision/CODEOWNERS,C,P1,28
2926,05-core-banking/regenera-core-credit-origination/.tool-versions,C,P3,7
2928,05-core-banking/regenera-core-credit-origination/CODEOWNERS,C,P1,31
2963,06-risk-control/regenera-risk-credit/.tool-versions,C,P3,7
2965,06-risk-control/regenera-risk-credit/CODEOWNERS,C,P1,24
3022,05-core-banking/regenera-core-custody-positions/.tool-versions,C,P3,7
3024,05-core-banking/regenera-core-custody-positions/CODEOWNERS,C,P1,30
3059,05-core-banking/regenera-core-customer-support/.tool-versions,C,P0,7
3061,05-core-banking/regenera-core-customer-support/CODEOWNERS,C,P0,29
3096,05-core-banking/regenera-core-customers/.tool-versions,C,P0,7
3098,05-core-banking/regenera-core-customers/CODEOWNERS,C,P0,22
3172,05-core-banking/regenera-core-device-trust/.tool-versions,C,P3,7
3174,05-core-banking/regenera-core-device-trust/CODEOWNERS,C,P1,25
3209,05-core-banking/regenera-core-disputes/.tool-versions,C,P3,7
3211,05-core-banking/regenera-core-disputes/CODEOWNERS,C,P1,21
3246,05-core-banking/regenera-core-documents/.tool-versions,C,P3,7
3248,05-core-banking/regenera-core-documents/CODEOWNERS,C,P1,22
3283,05-core-banking/regenera-core-fees/.tool-versions,C,P3,7
3285,05-core-banking/regenera-core-fees/CODEOWNERS,C,P1,17
3333,06-risk-control/regenera-risk-fraud/.tool-versions,C,P1,7
3335,06-risk-control/regenera-risk-fraud/CODEOWNERS,C,P1,18
3388,05-core-banking/regenera-core-fx/.tool-versions,C,P3,7
3390,05-core-banking/regenera-core-fx/CODEOWNERS,C,P1,15
3425,05-core-banking/regenera-core-identity/.tool-versions,C,P0,7
3427,05-core-banking/regenera-core-identity/CODEOWNERS,C,P0,21
3461,06-risk-control/regenera-risk-kyc/.tool-versions,C,P1,7
3463,06-risk-control/regenera-risk-kyc/CODEOWNERS,C,P1,16
3548,05-core-banking/regenera-core-investment-orders/.tool-versions,C,P3,7
3550,05-core-banking/regenera-core-investment-orders/CODEOWNERS,C,P1,30
3613,05-core-banking/regenera-core-invoices/.tool-versions,C,P3,7
3615,05-core-banking/regenera-core-invoices/CODEOWNERS,C,P1,21
