capacidade,maturidade
Identity,BLOCKED_BY_CONFLICT
Customer/Party,BLOCKED_BY_CONFLICT
Accounts,BLOCKED_BY_CONFLICT
Ledger,BLOCKED_BY_CONFLICT
Transactions,BLOCKED_BY_CONFLICT
Payments,BLOCKED_BY_CONFLICT
Pix,BLOCKED_BY_CONFLICT
Cards,BLOCKED_BY_CONFLICT
Credit,PARTIAL_IMPLEMENTATION
Investments,PARTIAL_IMPLEMENTATION
Idempotency,SKELETON_ONLY
Reconciliation,BLOCKED_BY_CONFLICT
Accounting,BLOCKED_BY_CONFLICT
Fraud,PARTIAL_IMPLEMENTATION
AML/KYC,BLOCKED_BY_CONFLICT
Regulatory Reporting,PARTIAL_IMPLEMENTATION
Notifications,BLOCKED_BY_CONFLICT
Open Finance,PARTIAL_IMPLEMENTATION
ISO 20022,PARTIAL_IMPLEMENTATION
Audit Trail,BLOCKED_BY_CONFLICT
Authorization,BLOCKED_BY_CONTRACT
Limits,BLOCKED_BY_CONFLICT
Fees,BLOCKED_BY_CONFLICT
Settlement,PARTIAL_IMPLEMENTATION
