criterion_id,capacidade,requisito,cenário,entrada,resultado_esperado,persistência_esperada,evento_esperado,métricas_esperadas,evidência_objetiva,tipo_de_teste,bloqueador,aprovado
CA-IDEM-1,Idempotency,Req,Cenario Idemp 1,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-2,Idempotency,Req,Cenario Idemp 2,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-3,Idempotency,Req,Cenario Idemp 3,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-4,Idempotency,Req,Cenario Idemp 4,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-5,Idempotency,Req,Cenario Idemp 5,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-6,Idempotency,Req,Cenario Idemp 6,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-7,Idempotency,Req,Cenario Idemp 7,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-8,Idempotency,Req,Cenario Idemp 8,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-9,Idempotency,Req,Cenario Idemp 9,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-10,Idempotency,Req,Cenario Idemp 10,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-11,Idempotency,Req,Cenario Idemp 11,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
CA-IDEM-12,Idempotency,Req,Cenario Idemp 12,API Call,Comportamento X,Insert DB,Nenhum,Latency,Log HTTP,E2E,SIM,FALSE
