requisito,decisao,contrato,criterio_aceite,cenario_teste,risco,componente_futuro
CA-IDEM-1,D-01,IdempHeader,CA-IDEM-1,TS-01,R-01,Módulo Core
CA-IDEM-2,D-01,IdempHeader,CA-IDEM-2,TS-01,R-01,Módulo Core
CA-IDEM-3,D-01,IdempHeader,CA-IDEM-3,TS-01,R-01,Módulo Core
CA-IDEM-4,D-01,IdempHeader,CA-IDEM-4,TS-01,R-01,Módulo Core
CA-IDEM-5,D-01,IdempHeader,CA-IDEM-5,TS-01,R-01,Módulo Core
CA-IDEM-6,D-01,IdempHeader,CA-IDEM-6,TS-01,R-01,Módulo Core
CA-IDEM-7,D-01,IdempHeader,CA-IDEM-7,TS-01,R-01,Módulo Core
CA-IDEM-8,D-01,IdempHeader,CA-IDEM-8,TS-01,R-01,Módulo Core
CA-IDEM-9,D-01,IdempHeader,CA-IDEM-9,TS-01,R-01,Módulo Core
CA-IDEM-10,D-01,IdempHeader,CA-IDEM-10,TS-01,R-01,Módulo Core
CA-IDEM-11,D-01,IdempHeader,CA-IDEM-11,TS-01,R-01,Módulo Core
CA-IDEM-12,D-01,IdempHeader,CA-IDEM-12,TS-01,R-01,Módulo Core
CA-IDEM-13,D-01,IdempHeader,CA-IDEM-13,TS-01,R-01,Módulo Core
CA-IDEM-14,D-01,IdempHeader,CA-IDEM-14,TS-01,R-01,Módulo Core
CA-IDEM-15,D-01,IdempHeader,CA-IDEM-15,TS-01,R-01,Módulo Core
CA-AUD-1,D-01,IdempHeader,CA-AUD-1,TS-01,R-01,Módulo Core
CA-AUD-2,D-01,IdempHeader,CA-AUD-2,TS-01,R-01,Módulo Core
CA-AUD-3,D-01,IdempHeader,CA-AUD-3,TS-01,R-01,Módulo Core
CA-AUD-4,D-01,IdempHeader,CA-AUD-4,TS-01,R-01,Módulo Core
CA-AUD-5,D-01,IdempHeader,CA-AUD-5,TS-01,R-01,Módulo Core
CA-AUD-6,D-01,IdempHeader,CA-AUD-6,TS-01,R-01,Módulo Core
CA-AUD-7,D-01,IdempHeader,CA-AUD-7,TS-01,R-01,Módulo Core
CA-AUD-8,D-01,IdempHeader,CA-AUD-8,TS-01,R-01,Módulo Core
CA-AUD-9,D-01,IdempHeader,CA-AUD-9,TS-01,R-01,Módulo Core
CA-AUD-10,D-01,IdempHeader,CA-AUD-10,TS-01,R-01,Módulo Core
CA-AUD-11,D-01,IdempHeader,CA-AUD-11,TS-01,R-01,Módulo Core
CA-AUD-12,D-01,IdempHeader,CA-AUD-12,TS-01,R-01,Módulo Core
CA-AUD-13,D-01,IdempHeader,CA-AUD-13,TS-01,R-01,Módulo Core
CA-AUD-14,D-01,IdempHeader,CA-AUD-14,TS-01,R-01,Módulo Core
CA-AUD-15,D-01,IdempHeader,CA-AUD-15,TS-01,R-01,Módulo Core
CA-INT-1,D-01,IdempHeader,CA-INT-1,TS-01,R-01,Módulo Core
CA-INT-2,D-01,IdempHeader,CA-INT-2,TS-01,R-01,Módulo Core
CA-INT-3,D-01,IdempHeader,CA-INT-3,TS-01,R-01,Módulo Core
CA-INT-4,D-01,IdempHeader,CA-INT-4,TS-01,R-01,Módulo Core
CA-INT-5,D-01,IdempHeader,CA-INT-5,TS-01,R-01,Módulo Core
