criterio_id,status,evidencia
CA-01,PASS,tests/pass_1
CA-02,PASS,tests/pass_2
CA-03,PASS,tests/pass_3
CA-04,PASS,tests/pass_4
CA-05,PASS,tests/pass_5
CA-06,PASS,tests/pass_6
CA-07,PASS,tests/pass_7
CA-08,PASS,tests/pass_8
CA-09,PASS,tests/pass_9
CA-10,PASS,tests/pass_10
CA-11,PASS,tests/pass_11
CA-12,PASS,tests/pass_12
CA-13,PASS,tests/pass_13
CA-14,PASS,tests/pass_14
CA-15,PASS,tests/pass_15
CA-16,PASS,tests/pass_16
CA-17,PASS,tests/pass_17
CA-18,PASS,tests/pass_18
CA-19,PASS,tests/pass_19
CA-20,PASS,tests/pass_20
CA-21,PASS,tests/pass_21
CA-22,PASS,tests/pass_22
CA-23,PASS,tests/pass_23
CA-24,PASS,tests/pass_24
CA-25,PASS,tests/pass_25
CA-26,PASS,tests/pass_26
CA-27,PASS,tests/pass_27
CA-28,PASS,tests/pass_28
CA-29,PASS,tests/pass_29
CA-30,PASS,tests/pass_30
CA-31,PASS,tests/pass_31
CA-32,PASS,tests/pass_32
CA-33,PASS,tests/pass_33
CA-34,PASS,tests/pass_34
CA-35,PASS,tests/pass_35
