mutacao,descricao,teste_detector,resultado
Mutacao 1,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 2,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 3,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 4,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 5,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 6,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 7,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 8,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 9,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
Mutacao 10,Inverter IF,Nenhum,Sobreviveu (Testes falsos)
