nome,requisito,preparacao,fronteiras,mocks,acao,assertivas,falso_positivo,resultado,nivel
Test 1,REQ-1,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 2,REQ-2,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 3,REQ-3,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 4,REQ-4,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 5,REQ-5,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 6,REQ-6,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 7,REQ-7,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 8,REQ-8,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 9,REQ-9,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 10,REQ-10,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 11,REQ-11,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 12,REQ-12,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 13,REQ-13,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 14,REQ-14,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 15,REQ-15,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 16,REQ-16,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 17,REQ-17,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 18,REQ-18,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 19,REQ-19,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 20,REQ-20,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 21,REQ-21,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 22,REQ-22,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 23,REQ-23,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 24,REQ-24,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 25,REQ-25,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 26,REQ-26,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 27,REQ-27,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 28,REQ-28,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 29,REQ-29,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 30,REQ-30,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 31,REQ-31,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 32,REQ-32,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 33,REQ-33,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 34,REQ-34,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 35,REQ-35,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 36,REQ-36,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 37,REQ-37,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 38,REQ-38,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 39,REQ-39,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 40,REQ-40,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 41,REQ-41,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 42,REQ-42,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 43,REQ-43,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 44,REQ-44,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 45,REQ-45,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 46,REQ-46,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 47,REQ-47,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 48,REQ-48,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 49,REQ-49,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
Test 50,REQ-50,Vazia,Mocks,Todos,Vazia,Nenhuma,SIM,PASS (FALSO),Stub
