criterio_id,status,motivo
CA-01,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-02,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-03,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-04,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-05,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-06,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-07,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-08,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-09,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-10,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-11,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-12,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-13,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-14,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-15,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-16,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-17,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-18,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-19,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-20,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-21,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-22,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-23,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-24,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-25,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-26,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-27,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-28,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-29,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-30,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-31,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-32,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-33,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-34,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
CA-35,TEST_INSUFFICIENT,Testes são mocks vazios sem infraestrutura.
