capacidade,arquivo
Identity,02-contracts/regenera-contracts-openapi/identity/v1.yaml
Identity,03-channels/regenera-channel-android/core-security/src/test/kotlin/com/regenera/security/SecureSessionManagerTest.kt
Identity,03-channels/regenera-channel-android/core-security/src/main/java/bank/regenera/security/SessionVault.kt
Identity,03-channels/regenera-channel-android/core-security/src/main/kotlin/com/regenera/security/SecureSessionManager.kt
Identity,03-channels/regenera-channel-android/feature-auth/src/main/kotlin/com/regenera/auth/domain/AuthenticateUser.kt
Identity,03-channels/regenera-channel-android/feature-auth/src/main/kotlin/com/regenera/auth/domain/LogoutUser.kt
Identity,03-channels/regenera-channel-android/core-testing/src/main/kotlin/com/regenera/testing/FakeSessionManager.kt
Identity,03-channels/regenera-channel-partner-portal/src/lib/auth-session.ts
Identity,03-channels/regenera-channel-web-banking/infra/gcp-iam-zero-trust/workload-identity.sh
Identity,03-channels/regenera-channel-web-banking/src/app/api/session/logout/route.ts
Identity,03-channels/regenera-channel-web-banking/src/app/api/session/callback/route.ts
Identity,03-channels/regenera-channel-web-banking/src/app/api/session/login/route.ts
Identity,03-channels/regenera-channel-web-banking/src/features/identity/ui/KYCVerificationPanel.tsx
Identity,03-channels/regenera-channel-web-banking/src/features/identity/model/identitySchemas.ts
Identity,03-channels/regenera-channel-web-banking/src/features/neural/ui/useRaphaelaVoice.ts
Identity,03-channels/regenera-channel-web-banking/src/components/navigation/UserMenu.tsx
Identity,03-channels/regenera-channel-web-banking/src/components/authentication/SessionExpired.tsx
Identity,03-channels/regenera-channel-web-banking/src/hooks/useReducedMotion.ts
Identity,03-channels/regenera-channel-web-banking/src/lib/auth-session.ts
Identity,03-channels/regenera-channel-web-banking/src/lib/server/session.ts
Identity,03-channels/regenera-channel-web-banking/src/reused-enterprise/features/identity/ui/KYCVerificationPanel.tsx
Identity,03-channels/regenera-channel-web-banking/src/reused-enterprise/features/identity/model/identitySchemas.ts
Identity,03-channels/regenera-channel-web-banking/src/reused-enterprise/features/neural/ui/useRaphaelaVoice.ts
Identity,03-channels/regenera-channel-ios/FeatureAuthentication/Sources/FeatureAuthentication/Domain/AuthenticateUser.swift
Identity,03-channels/regenera-channel-ios/FeatureAuthentication/Sources/FeatureAuthentication/Domain/LogoutUser.swift
Identity,03-channels/regenera-channel-ios/CoreStorage/Sources/CoreStorage/UserPreferences.swift
Identity,03-channels/regenera-channel-ios/Sources/Core/SessionStore.swift
Identity,03-channels/regenera-channel-ios/CoreSecurity/Tests/CoreSecurityTests/SecureSessionManagerTests.swift
Identity,03-channels/regenera-channel-ios/CoreSecurity/Sources/CoreSecurity/SecureSessionManager.swift
Identity,03-channels/regenera-channel-ios/CoreNetworking/Sources/CoreNetworking/URLSessionFactory.swift
Identity,03-channels/regenera-channel-windows-operations/src/Regenera.Operations.Infrastructure/Api/IdentityApiClient.cs
Identity,03-channels/regenera-channel-windows-operations/src/Regenera.Operations.Desktop/Views/Administration/UsersPage.xaml
Identity,03-channels/regenera-channel-windows-operations/src/Regenera.Operations.Domain/Entities/OperatorSession.cs
Identity,04-bffs/regenera-bff-operations/src/main/kotlin/com/regenera/bff/security/CorporateIdentityFilter.kt
Identity,04-bffs/regenera-bff-web/src/main/kotlin/com/regenera/bff/security/BrowserSessionFilter.kt
Identity,04-bffs/regenera-bff-mobile/src/main/kotlin/com/regenera/bff/security/MobileSessionPolicy.kt
Identity,05-core-banking/regenera-core-session/LICENSE
Identity,05-core-banking/regenera-core-session/CHANGELOG.md
Identity,05-core-banking/regenera-core-session/docker-compose.local.yml
Identity,05-core-banking/regenera-core-session/Dockerfile
Identity,05-core-banking/regenera-core-session/Makefile
Identity,05-core-banking/regenera-core-session/CODEOWNERS
Identity,05-core-banking/regenera-core-session/.tool-versions
Identity,05-core-banking/regenera-core-session/service.yaml
Identity,05-core-banking/regenera-core-session/.editorconfig
Identity,05-core-banking/regenera-core-session/README.md
Identity,05-core-banking/regenera-core-session/.gitignore
Identity,05-core-banking/regenera-core-session/CONTRIBUTING.md
Identity,05-core-banking/regenera-core-session/.gitattributes
Identity,05-core-banking/regenera-core-session/.env.example
Identity,05-core-banking/regenera-core-session/OWNERS.yaml
Identity,05-core-banking/regenera-core-session/SECURITY.md
Identity,05-core-banking/regenera-core-session/catalog-info.yaml
Identity,05-core-banking/regenera-core-session/deploy/terraform/.gitkeep
Identity,05-core-banking/regenera-core-session/deploy/kubernetes/.gitkeep
Identity,05-core-banking/regenera-core-session/deploy/helm/.gitkeep
Identity,05-core-banking/regenera-core-session/tests/unit/.gitkeep
Identity,05-core-banking/regenera-core-session/tests/contract/.gitkeep
Identity,05-core-banking/regenera-core-session/tests/security/.gitkeep
Identity,05-core-banking/regenera-core-session/tests/integration/.gitkeep
Identity,05-core-banking/regenera-core-session/tests/performance/.gitkeep
Identity,05-core-banking/regenera-core-session/docs/ARCHITECTURE.md
Identity,05-core-banking/regenera-core-session/docs/THREAT-MODEL.md
Identity,05-core-banking/regenera-core-session/docs/SLO.md
Identity,05-core-banking/regenera-core-session/docs/DEPENDENCIES.md
Identity,05-core-banking/regenera-core-session/docs/RUNBOOK.md
Identity,05-core-banking/regenera-core-session/docs/DATA-FLOW.md
Identity,05-core-banking/regenera-core-session/docs/ROLLBACK.md
Identity,05-core-banking/regenera-core-session/docs/ADR/0001-boundary.md
Identity,05-core-banking/regenera-core-session/scripts/validate.sh
Identity,05-core-banking/regenera-core-session/scripts/build.sh
Identity,05-core-banking/regenera-core-session/scripts/bootstrap.sh
Identity,05-core-banking/regenera-core-session/scripts/release.sh
Identity,05-core-banking/regenera-core-session/scripts/test.sh
Identity,05-core-banking/regenera-core-identity/.DS_Store
Identity,05-core-banking/regenera-core-identity/LICENSE
Identity,05-core-banking/regenera-core-identity/CHANGELOG.md
Identity,05-core-banking/regenera-core-identity/docker-compose.local.yml
Identity,05-core-banking/regenera-core-identity/Dockerfile
Identity,05-core-banking/regenera-core-identity/Makefile
Identity,05-core-banking/regenera-core-identity/CODEOWNERS
Identity,05-core-banking/regenera-core-identity/.tool-versions
Identity,05-core-banking/regenera-core-identity/service.yaml
Identity,05-core-banking/regenera-core-identity/.editorconfig
