cluster_id,impacto
CLUS-1,ALTO
CLUS-2,ALTO
CLUS-3,ALTO
CLUS-4,ALTO
CLUS-5,ALTO
CLUS-6,ALTO
CLUS-7,ALTO
CLUS-8,ALTO
CLUS-9,ALTO
CLUS-10,ALTO
CLUS-11,ALTO
CLUS-12,ALTO
CLUS-13,ALTO
CLUS-14,ALTO
CLUS-15,ALTO
CLUS-16,ALTO
CLUS-17,ALTO
CLUS-18,ALTO
CLUS-19,ALTO
CLUS-20,ALTO
CLUS-21,ALTO
CLUS-22,ALTO
CLUS-23,ALTO
CLUS-24,ALTO
CLUS-25,ALTO
CLUS-26,ALTO
CLUS-27,ALTO
CLUS-28,ALTO
CLUS-29,ALTO
CLUS-30,ALTO
CLUS-31,ALTO
CLUS-32,ALTO
CLUS-33,ALTO
CLUS-34,ALTO
CLUS-35,ALTO
CLUS-36,ALTO
CLUS-37,ALTO
CLUS-38,ALTO
CLUS-39,ALTO
CLUS-40,ALTO
CLUS-41,ALTO
CLUS-42,ALTO
CLUS-43,ALTO
CLUS-44,ALTO
CLUS-45,ALTO
CLUS-46,ALTO
CLUS-47,ALTO
CLUS-48,ALTO
CLUS-49,ALTO
CLUS-50,ALTO
CLUS-51,ALTO
