ordem,cluster_id
1,CLUS-1
2,CLUS-2
3,CLUS-3
4,CLUS-4
5,CLUS-5
6,CLUS-6
7,CLUS-7
8,CLUS-8
9,CLUS-9
10,CLUS-10
11,CLUS-11
12,CLUS-12
13,CLUS-13
14,CLUS-14
15,CLUS-15
16,CLUS-16
17,CLUS-17
18,CLUS-18
19,CLUS-19
20,CLUS-20
21,CLUS-21
22,CLUS-22
23,CLUS-23
24,CLUS-24
25,CLUS-25
26,CLUS-26
27,CLUS-27
28,CLUS-28
29,CLUS-29
30,CLUS-30
31,CLUS-31
32,CLUS-32
33,CLUS-33
34,CLUS-34
35,CLUS-35
36,CLUS-36
37,CLUS-37
38,CLUS-38
39,CLUS-39
40,CLUS-40
41,CLUS-41
42,CLUS-42
43,CLUS-43
44,CLUS-44
45,CLUS-45
46,CLUS-46
47,CLUS-47
48,CLUS-48
49,CLUS-49
50,CLUS-50
51,CLUS-51
