candidato,hash,status,caminho,tipo_area,destino_identificado
3429_A,f92afc003b9cee2d4c8775a1bf40b8d4ceec0e2173f37308436535e7cdde45ce,LOCATED_ACTIVE_CODE,Auditoria 2/ARQUIVOS USAR E LISTA/03-Regenera-Core-Risk-Control(1)/05-core-banking/regenera-core-identity/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,03-channels/regenera-channel-partner-portal/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,03-channels/regenera-channel-web-banking/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-ledger/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-credit/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-fees/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-pix/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-transactions/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-notifications/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-identity/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-payments/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-limits/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-customers/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-investments/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-cards/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-accounts/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,06-risk-control/regenera-control-fraud/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,06-risk-control/regenera-control-accounting/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,06-risk-control/regenera-control-reconciliation/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,06-risk-control/regenera-control-aml/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/03-channels/regenera-channel-partner-portal/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/03-channels/regenera-channel-web-banking/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/05-core-banking/regenera-core-ledger/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/05-core-banking/regenera-core-credit/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/05-core-banking/regenera-core-fees/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/05-core-banking/regenera-core-pix/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/05-core-banking/regenera-core-transactions/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/05-core-banking/regenera-core-notifications/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
