type,area,module,path,size_bytes,priority,action
ARQUIVO_ZERO_BYTES,(raiz),.editorconfig,.editorconfig,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,(raiz),.env.example,.env.example,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,(raiz),.gitattributes,.gitattributes,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,(raiz),.gitignore,.gitignore,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,(raiz),.pre-commit-config.yaml,.pre-commit-config.yaml,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/.gitignore,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/consumer-rules.pro,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/androidTest/kotlin/com/regenera/bank/MainActivityTest.kt,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/kotlin/com/regenera/bank/AppModule.kt,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/kotlin/com/regenera/bank/AppNavigation.kt,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/kotlin/com/regenera/bank/AppState.kt,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/kotlin/com/regenera/bank/RegeneraBankApplication.kt,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/res/values/colors.xml,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/res/values/strings.xml,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/res/values/themes.xml,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/res/xml/backup_rules.xml,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/main/res/xml/data_extraction_rules.xml,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
ARQUIVO_ZERO_BYTES,03-channels,03-channels/regenera-channel-android,03-channels/regenera-channel-android/app/src/test/kotlin/com/regenera/bank/AppStateTest.kt,0,P0,Implementar conteúdo válido ou remover o arquivo do mapa.
