module,files_total,custom_files,custom_nonzero,custom_zero,custom_over_500,custom_bytes,maturity
00-governance/regenera-engineering-governance,52,6,6,0,0,512,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
00-governance/regenera-enterprise-architecture,65,19,19,0,0,2041,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
00-governance/regenera-product-governance,346,300,300,0,0,34649,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
01-design-system/regenera-design-android,46,0,0,0,0,0,SCAFFOLD PURO
01-design-system/regenera-design-documentation,47,1,1,0,1,238592,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
01-design-system/regenera-design-ios,46,0,0,0,0,0,SCAFFOLD PURO
01-design-system/regenera-design-tokens,60,14,14,0,0,1657,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
01-design-system/regenera-design-web,92,46,46,0,24,354816,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
01-design-system/regenera-design-windows,46,0,0,0,0,0,SCAFFOLD PURO
02-contracts/regenera-contracts-asyncapi,53,7,7,0,7,3959,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
02-contracts/regenera-contracts-error-catalog,51,5,5,0,1,1416,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
02-contracts/regenera-contracts-events,49,3,3,0,0,279,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
02-contracts/regenera-contracts-json-schema,53,7,7,0,1,2642,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
02-contracts/regenera-contracts-openapi,59,13,13,0,13,14011,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
02-contracts/regenera-contracts-sdk,46,0,0,0,0,0,SCAFFOLD PURO
03-channels/regenera-channel-android,271,225,46,179,17,77063,IMPLEMENTAÇÃO PARCIAL
03-channels/regenera-channel-ios,255,209,31,178,23,79477,IMPLEMENTAÇÃO PARCIAL
03-channels/regenera-channel-partner-portal,79,33,2,31,0,669,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
03-channels/regenera-channel-web-banking,225,179,56,123,50,376127,IMPLEMENTAÇÃO PARCIAL
03-channels/regenera-channel-windows-operations,166,120,27,93,21,68969,IMPLEMENTAÇÃO PARCIAL
04-bffs/regenera-api-open-finance,46,0,0,0,0,0,SCAFFOLD PURO
04-bffs/regenera-api-partners,92,46,26,20,23,140899,IMPLEMENTAÇÃO PARCIAL
04-bffs/regenera-bff-mobile,68,22,5,17,1,2315,IMPLEMENTAÇÃO PARCIAL
04-bffs/regenera-bff-operations,70,24,5,19,1,2323,IMPLEMENTAÇÃO PARCIAL
04-bffs/regenera-bff-web,70,24,5,19,1,2309,IMPLEMENTAÇÃO PARCIAL
05-core-banking/regenera-core-accounts,79,33,19,14,2,7274,IMPLEMENTAÇÃO PARCIAL
05-core-banking/regenera-core-balance,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-card-authorization,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-card-clearing,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-cards,71,25,2,23,0,697,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
05-core-banking/regenera-core-consents,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-credit,22,18,2,16,0,697,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
05-core-banking/regenera-core-credit-decision,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-credit-origination,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-custody-positions,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-customer-support,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-customers,85,39,26,13,1,8649,IMPLEMENTAÇÃO PARCIAL
05-core-banking/regenera-core-device-trust,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-disputes,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-documents,46,0,0,0,0,0,SCAFFOLD PURO
05-core-banking/regenera-core-fees,59,13,2,11,0,697,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
05-core-banking/regenera-core-fx,46,0,0,0,0,0,SCAFFOLD PURO
